# Fracture 1 Parallel,Fracture 2 Parallel,Fracture 3 Parallel,Fracture 1 Non-Parallel,Fracture 2 Non-Parallel,Fracture 3 Non-Parallel
3.353248912762651912e+01,3.327219639854423860e+01,3.319531447382924938e+01,2.975484643078897307e+01,3.307924752119912881e+01,3.716590604801189102e+01
3.379722295227862361e+01,3.319094024970380730e+01,3.301183679801757620e+01,2.534957464768655200e+01,3.187883006799490104e+01,4.277159528431855051e+01
3.394905161796204141e+01,3.314414249857992445e+01,3.290680588345802704e+01,2.298395955507606558e+01,3.053411033778313666e+01,4.648193010714079776e+01
3.402882425890057760e+01,3.311944913954124559e+01,3.285172660155818392e+01,2.176051053206154151e+01,2.956656335063880192e+01,4.867292611729966012e+01
3.407322871738539760e+01,3.310566456310174743e+01,3.282110671951286918e+01,2.107645633601481805e+01,2.893307286743462825e+01,4.999047079655055370e+01
3.409982467348938684e+01,3.309739338569818301e+01,3.280278194081243015e+01,2.066336224268616917e+01,2.851689972564298969e+01,5.081973803167084469e+01
3.411681091663307797e+01,3.309210458046480596e+01,3.279108450290210897e+01,2.039754681107718071e+01,2.823552799756134490e+01,5.136692519136146728e+01
3.412824674544333448e+01,3.308854113335033986e+01,3.278321212120632566e+01,2.021751485679597593e+01,2.803890040693125485e+01,5.174358473627276567e+01
3.413628309617032386e+01,3.308603559508026848e+01,3.277768130874941477e+01,2.009041224116874247e+01,2.789713428165730491e+01,5.201245347717395617e+01
3.414213245317923651e+01,3.308421118075118983e+01,3.277365636606956656e+01,1.999756684610989410e+01,2.779203782289388869e+01,5.221039533099620655e+01
3.414651579746399079e+01,3.308284360991230244e+01,3.277064059262369256e+01,1.992779645514974618e+01,2.771220698800085458e+01,5.235999655684938858e+01
3.414988182511876147e+01,3.308179319648032646e+01,3.276832497840091207e+01,1.987410065521176961e+01,2.765027023311056809e+01,5.247562911167766941e+01
3.415252084758952833e+01,3.308096950930759306e+01,3.276650964310287861e+01,1.983192805699722427e+01,2.760132168544942033e+01,5.256675025755336605e+01
3.415462707402364373e+01,3.308031202546094818e+01,3.276506090051541520e+01,1.979822176901368280e+01,2.756200796807224407e+01,5.263977026291406247e+01
3.415633422826144994e+01,3.307977905661076790e+01,3.276388671512778927e+01,1.977087002438720376e+01,2.752998084661167510e+01,5.269914912900112114e+01
3.415773673150012968e+01,3.307934115853362300e+01,3.276292210996624732e+01,1.974837765174631343e+01,2.750355982839345970e+01,5.274806251986021977e+01
3.415890274182034858e+01,3.307897707188359959e+01,3.276212018629605893e+01,1.972966289496371672e+01,2.748151857217287386e+01,5.278881853286341652e+01
3.415988242870163560e+01,3.307867114514580464e+01,3.276144642615255975e+01,1.971392796790768642e+01,2.746294629004821886e+01,5.282312574204409827e+01
3.416071336730493613e+01,3.307841165399080552e+01,3.276087497870425835e+01,1.970057438082960388e+01,2.744715574150052362e+01,5.285226987766985474e+01
3.416142414068826128e+01,3.307818967861540216e+01,3.276038618069633657e+01,1.968914623228136662e+01,2.743362086985541737e+01,5.287723289786321601e+01
3.416203679774593382e+01,3.307799833750573271e+01,3.275996486474833347e+01,1.967929141798389736e+01,2.742193371644883726e+01,5.289877486556726893e+01
3.416256856326809555e+01,3.307783225422519990e+01,3.275959918250671166e+01,1.967073458419199739e+01,2.741177412854002782e+01,5.291749128726797835e+01
3.416303304879162539e+01,3.307768717978731843e+01,3.275927977142104908e+01,1.966325794049685172e+01,2.740288811789888967e+01,5.293385394160426927e+01
3.416344112379617570e+01,3.307755972091268859e+01,3.275899915529114281e+01,1.965668743202646596e+01,2.739507217021882113e+01,5.294824039775471647e+01
3.416380155173859379e+01,3.307744714160855892e+01,3.275875130665284729e+01,1.965088262951124420e+01,2.738816171365883179e+01,5.296095565682990980e+01
3.416412146065681554e+01,3.307734721633819674e+01,3.275853132300498061e+01,1.964572923932507820e+01,2.738202253725857815e+01,5.297224822341635075e+01
3.416440669568007138e+01,3.307725812002463073e+01,3.275833518429529789e+01,1.964113348668157499e+01,2.737654433019136135e+01,5.298232218312707431e+01
3.416466208609188726e+01,3.307717834470841467e+01,3.275815956919969096e+01,1.963701785600050442e+01,2.737163576516585906e+01,5.299134637883364007e+01
