# 5 kg/s Parallel,10 kg/s Parallel,15 kg/s Parallel,20 kg/s Parallel,25 kg/s Parallel,30 kg/s Parallel,5 kg/s Non-Parallel,10 kg/s Non-Parallel,15 kg/s Non-Parallel,20 kg/s Non-Parallel,25 kg/s Non-Parallel,30 kg/s Non-Parallel
4.729470258428395368e+01,1.005757587173695100e+02,1.589810178510710728e+02,2.221264092943539481e+02,2.897644926923463800e+02,3.617150944954223064e+02,4.220542244878939186e+01,9.409578258444508947e+01,1.539746716262308439e+02,2.210150990144601622e+02,2.946586821660213218e+02,3.744867373188212127e+02
4.728227787433276319e+01,1.005257610411126308e+02,1.588676673368703689e+02,2.219231368636474144e+02,2.894438413380349857e+02,3.612486557747024563e+02,4.218740832488140313e+01,9.403077013859262934e+01,1.538403897101096618e+02,2.207932494212496692e+02,2.943333439909065987e+02,3.740433217323962367e+02
4.727137361531924853e+01,1.004818809907141457e+02,1.587681827660993008e+02,2.217447207840809540e+02,2.891623788882548638e+02,3.608391854977556932e+02,4.217158827314194980e+01,9.397365745906921575e+01,1.537224154861795284e+02,2.205983648234344514e+02,2.940476260309393410e+02,3.736540550065362822e+02
4.726175147880714889e+01,1.004431597731822166e+02,1.586803915968015417e+02,2.215872682235749664e+02,2.889139715020701260e+02,3.604777736635693941e+02,4.215762026328683731e+01,9.392321633081888876e+01,1.536182148855970979e+02,2.204262505897456492e+02,2.937953509245651844e+02,3.733104679009398978e+02
4.725321806694853422e+01,1.004088193223233816e+02,1.586025306701734792e+02,2.214476195446290774e+02,2.886936398692494095e+02,3.601571859869718537e+02,4.214522634908919940e+01,9.387844800086712382e+01,1.535257270470848994e+02,2.202734964180398833e+02,2.935714993776998654e+02,3.730056843940471367e+02
4.724561511834230743e+01,1.003782229099781489e+02,1.585331570168887083e+02,2.213231886420622345e+02,2.884973079675599479e+02,3.598714995447720639e+02,4.213417879296637381e+01,9.383853364512891915e+01,1.534432622031497715e+02,2.201373068205890036e+02,2.933719591577008714e+02,3.727340750901360593e+02
4.723881211711327666e+01,1.003508454204193328e+02,1.584710805374352276e+02,2.212118424159091319e+02,2.883216133597030648e+02,3.596158275908462088e+02,4.212428957069450064e+01,9.380279686459151378e+01,1.533694243602331824e+02,2.200153728427884516e+02,2.931933353313900739e+02,3.724909955158478851e+02
4.723270065417207775e+01,1.003262506706770836e+02,1.584153126340498829e+02,2.211118087892832023e+02,2.881637623886536517e+02,3.593861094480880638e+02,4.211540234755261736e+01,9.377067498686822944e+01,1.533030521278317337e+02,2.199057739419309883e+02,2.930328052461690049e+02,3.722725863455547142e+02
4.722719008150569664e+01,1.003040739307590172e+02,1.583650266164571860e+02,2.210216057990224670e+02,2.880214185263477589e+02,3.591789484676483539e+02,4.210738628288763152e+01,9.374169688900994402e+01,1.532431729891920895e+02,2.198069021887953056e+02,2.928880065918870628e+02,3.720756193539572223e+02
4.722220413142404283e+01,1.002840083246212259e+02,1.583195268954565051e+02,2.209399864174339143e+02,2.878926154771304482e+02,3.589914858883481656e+02,4.210013120222998140e+01,9.371546570258641395e+01,1.531889676359009229e+02,2.197174031731752848e+02,2.927569501928941236e+02,3.718973775123324117e+02
4.721767826342242103e+01,1.002657941575686351e+02,1.582782248040302875e+02,2.208658952397327653e+02,2.877756889570827070e+02,3.588213017871427724e+02,4.209354380275792806e+01,9.369164521108697841e+01,1.531397419139750866e+02,2.196361295366534421e+02,2.926379514784391063e+02,3.717355608448861517e+02
4.721355756505052170e+01,1.002492104719034387e+02,1.582406194652380123e+02,2.207984342083638012e+02,2.876692226993891950e+02,3.586663366704185023e+02,4.208754464696232134e+01,9.366994906603783022e+01,1.530949045811289011e+02,2.195621041416595176e+02,2.925295761960520053e+02,3.715882119087000888e+02
4.720979507840304024e+01,1.002340683145847180e+02,1.582062825380025970e+02,2.207368352819809445e+02,2.875720053940659682e+02,3.585248289334431888e+02,4.208206576290791645e+01,9.365013217399256007e+01,1.530539495399114287e+02,2.194944906597648071e+02,2.924305970830934029e+02,3.714536563577676134e+02
4.720635045640941030e+01,1.002202053314176169e+02,1.581748459678444760e+02,2.206804384864719566e+02,2.874829961029393530e+02,3.583952646216856692e+02,4.207704871520443390e+01,9.363198376924248123e+01,1.530164415467836534e+02,2.194325699196823507e+02,2.923399590399777139e+02,3.713304551998624561e+02
4.720318887666096686e+01,1.002074813972574674e+02,1.581459920846397438e+02,2.206286741700607195e+02,2.874012962959078550e+02,3.582763368046331607e+02,4.207244304409545066e+01,9.361532180569371064e+01,1.529820046415556476e+02,2.193757207616068001e+02,2.922567509510140553e+02,3.712173661892854852e+02
4.720028015788206233e+01,1.001957750613715064e+02,1.581194455471949993e+02,2.205810485668207548e+02,2.873261270985286728e+02,3.581669125164403340e+02,4.206820499454055096e+01,9.359998838860295223e+01,1.529503127213794187e+02,2.193234044430700749e+02,2.921801827416236392e+02,3.711133124108184234e+02
4.719759803696469191e+01,1.001849806386980362e+02,1.580949667512348924e+02,2.205371319820250733e+02,2.872568106699354189e+02,3.580660056947721159e+02,4.206429647535990313e+01,9.358584603162384496e+01,1.529210818170222694e+02,2.192751518631876024e+02,2.921095665888896065e+02,3.710173565638294235e+02
4.719511957405078562e+01,1.001750058162824075e+02,1.580723464046875790e+02,2.204965490689843364e+02,2.871927548759817910e+02,3.579727549057030274e+02,4.206068420205022562e+01,9.357277457317358937e+01,1.528940637291036921e+02,2.192305530380423590e+02,2.920443014480525790e+02,3.709286797944980663e+02
4.719282466040073842e+01,1.001657696731737275e+02,1.580514010398795790e+02,2.204589707846901661e+02,2.871334406077114068e+02,3.578864049112763723e+02,4.205733898716233199e+01,9.356066862269382511e+01,1.528690407575013239e+02,2.191892483852008695e+02,2.919838602427706178e+02,3.708465641795733632e+02
4.719069560922959994e+01,1.001572010341482724e+02,1.580319692821696833e+02,2.204241077010186132e+02,2.870784112359883125e+02,3.578062913405011045e+02,4.205423514991070988e+01,9.354943543531092587e+01,1.528458213145666491e+02,2.191509214706331363e+02,2.919277792077801337e+02,3.707703781591786196e+02
4.718871681391044604e+01,1.001492370944358754e+02,1.580139087327571019e+02,2.203917044165865775e+02,2.870272638007863293e+02,3.577318278807282468e+02,4.205135002268801969e+01,9.353899313471542598e+01,1.528242362568282147e+02,2.191152929442737047e+02,2.918756489804293324e+02,3.706995643645634573e+02
4.718687446115428230e+01,1.001418222656649419e+02,1.579970933527792738e+02,2.203615348670571166e+02,2.869796416165357869e+02,3.576624955267464543e+02,4.204866353669159196e+01,9.352926922059440074e+01,1.528041358038263411e+02,2.190821154467865028e+02,2.918271071206830243e+02,3.706336294012079406e+02
4.718515628928997074e+01,1.001349072032414966e+02,1.579814112586466308e+02,2.203333983725091798e+02,2.869352280393031833e+02,3.575978335183381205e+02,4.204615787253875681e+01,9.352019930971674455e+01,1.527853869391486228e+02,2.190511693138126645e+02,2.917818318037550966e+02,3.705721352363652841e+02
4.718355138372503177e+01,1.001284479833132934e+02,1.579667628563639425e+02,2.203071162924208579e+02,2.868937411917926852e+02,3.575374316699263773e+02,4.204381716445167427e+01,9.351172606982417790e+01,1.527678712093305933e+02,2.190222589381962734e+02,2.917395364799299387e+02,3.705146919094431723e+02
4.718205000317690434e+01,1.001224054035692319e+02,1.579530592565477889e+02,2.202825291838062753e+02,2.868549294815718440e+02,3.574809238532166660e+02,4.204162724883978086e+01,9.350379831330290870e+01,1.527514828525548580e+02,2.189952096774940742e+02,2.916999653357597708e+02,3.704609513380187877e+02
4.718064343151011997e+01,1.001167443870407538e+02,1.579402209228854304e+02,2.202594943778372567e+02,2.868185677790783075e+02,3.574279824389253690e+02,4.203957544983080652e+01,9.349637022385768148e+01,1.527361272018553677e+02,2.189698652153594196e+02,2.916628894220797861e+02,3.704106020352718360e+02
4.717932385094957937e+01,1.001114334719244425e+02,1.579281765155816117e+02,2.202378839059875588e+02,2.867844541467111981e+02,3.573783135396585067e+02,4.203765039565926287e+01,9.348940069435764144e+01,1.527217193178042862e+02,2.189460853022729054e+02,2.916281033392727977e+02,3.703633645887186958e+02
4.717808423321488931e+01,1.001064443735123461e+02,1.579168618982582188e+02,2.202175827192471900e+02,2.867524070300375456e+02,3.573316529246417872e+02,4.203584186097143061e+01,9.348285275795340965e+01,1.527081828137312129e+02,2.189237438145402734e+02,2.915954223899234421e+02,3.703189877774109959e+02
4.717691824574490056e+01,1.001017516068397697e+02,1.579062192824564761e+02,2.201984871540090865e+02,2.867222628379691400e+02,3.572877625000194826e+02,4.203414063090696118e+01,9.347669309774910573e+01,1.526954488431411505e+02,2.189027270813730297e+02,2.915646801251120905e+02,3.702772452266118535e+02
4.717582017066707323e+01,1.000973321605896160e+02,1.578961964883619942e+02,2.201805036063483101e+02,2.866938738515602267e+02,3.572464272669805609e+02,4.203253838363142592e+01,9.347089162289728392e+01,1.526834552242278846e+02,2.188829324385562813e+02,2.915357262233262645e+02,3.702379325165621253e+02
4.717478483455091265e+01,1.000931652144735864e+02,1.578867463040671453e+02,2.201635473829551302e+02,2.866671064114037790e+02,3.572074526850011011e+02,4.203102758848163489e+01,9.346542110101243850e+01,1.526721456806772039e+02,2.188642669743025806e+02,2.915084246514774691e+02,3.702008646762485569e+02
4.717380754738004356e+01,1.000892318935766525e+02,1.578778259286203820e+02,2.201475417023297325e+02,2.866418393419796189e+02,3.571706623796979443e+02,4.202960141741179712e+01,9.346025683851830479e+01,1.526614691814611149e+02,2.188466464386687846e+02,2.914826520659399307e+02,3.701658740046851790e+02
4.717288404932917700e+01,1.000855150542412559e+02,1.578693964865860551e+02,2.201324168241800976e+02,2.866179625782356197e+02,3.571358961447695606e+02,4.202825366779310912e+01,9.345537640192603135e+01,1.526513793651226933e+02,2.188299942926044537e+02,2.914582964184758680e+02,3.701328081716896463e+02
4.717201046427587841e+01,1.000819990969536661e+02,1.578614226038149866e+02,2.201181092885804844e+02,2.865953759652539929e+02,3.571030081956860158e+02,4.202697869491570515e+01,9.345075937415371925e+01,1.526418340364342896e+02,2.188142408765770028e+02,2.914352557375866013e+02,3.701015285579191527e+02
4.717118325905757814e+01,1.000786698024018193e+02,1.578538720357397835e+02,2.201045612493250587e+02,2.865739882065222446e+02,3.570718656395113726e+02,4.202577135285400800e+01,9.344638714095069076e+01,1.526327947252224249e+02,2.187993226818907146e+02,2.914134370605131039e+02,3.700719088003324373e+02
4.717039920769067862e+01,1.000755141874896452e+02,1.578467153409164609e+02,2.200917198884186803e+02,2.865537159401472991e+02,3.570423471308388343e+02,4.202462694250151998e+01,9.344224270324383497e+01,1.526242262987241531e+02,2.187851817104705106e+02,2.913927554949774503e+02,3.700438335145353221e+02
4.716965535987758074e+01,1.000725203785751347e+02,1.578399255936143106e+02,2.200795369005759028e+02,2.865344829255474792e+02,3.570143416883943246e+02,4.202354116582608867e+01,9.343831051188266201e+01,1.526160966201900635e+02,2.187717649110309424e+02,2.913731333929513312e+02,3.700171971698334232e+02
4.716894901319970757e+01,1.000696774996152101e+02,1.578334781302010583e+02,2.200679680383493348e+02,2.865162193257344256e+02,3.569877476507408005e+02,4.202251008548346078e+01,9.343457632176188099e+01,1.526083762475413153e+02,2.187590236814156981e+02,2.913544996214548632e+02,3.699919030965121465e+02
4.716827768855077352e+01,1.000669755732486124e+02,1.578273503248681777e+02,2.200569727098615260e+02,2.864988610726159095e+02,3.569624717527094617e+02,4.202153008910234178e+01,9.343102706279567826e+01,1.526010381667840079e+02,2.187469134283554979e+02,2.913367889175351024e+02,3.699678626078415391e+02
