# Fracture 1 Parallel,Fracture 2 Parallel,Fracture 3 Parallel,Fracture 1 Non-Parallel,Fracture 2 Non-Parallel,Fracture 3 Non-Parallel
3.351320764261558338e+01,3.327724673218503426e+01,3.320954562519938236e+01,3.234731077268347121e+01,3.326014364043686555e+01,3.439254558687965613e+01
3.391749527897556504e+01,3.315168314932149229e+01,3.293082157170294266e+01,3.020105501424915673e+01,3.294837201162702200e+01,3.685057297412381416e+01
3.433513511946408414e+01,3.302208942854346674e+01,3.264277545199244912e+01,2.810765484831925320e+01,3.235188913473756855e+01,3.954045601694318890e+01
3.467060729410397357e+01,3.291754011680168190e+01,3.241185258909435873e+01,2.652423287495616577e+01,3.161520815702440501e+01,4.186055896801944698e+01
3.491666625983874184e+01,3.284033038373196689e+01,3.224300335642927706e+01,2.541479033934190213e+01,3.089776456563663132e+01,4.368744509502146656e+01
3.509294364012652778e+01,3.278463668969885703e+01,3.212241967017460809e+01,2.464288958611050973e+01,3.027688691511811925e+01,4.508022349877138168e+01
3.521981687908086656e+01,3.274431575433903419e+01,3.203586736658009926e+01,2.409672758646546598e+01,2.976818246323371753e+01,4.613508995030083071e+01
3.531257362992425897e+01,3.271469718115197622e+01,3.197272918892376481e+01,2.370119090851346755e+01,2.936056639977731209e+01,4.693824269170923458e+01
3.538170145062169780e+01,3.269254084233914170e+01,3.192575770703916405e+01,2.340789213119031942e+01,2.903583195544429074e+01,4.755627591336538984e+01
3.543423316287668712e+01,3.267565398796409681e+01,3.189011284915921252e+01,2.318556804337989519e+01,2.877646208889943580e+01,4.803796986772066191e+01
3.547489686013759780e+01,3.266255161012983876e+01,3.186255152973256344e+01,2.301366268282915328e+01,2.856791311081205365e+01,4.841842420635879307e+01
3.550691230144865074e+01,3.265221649738364817e+01,3.184087120116770464e+01,2.287836302451737325e+01,2.839878855385385492e+01,4.872284842162878249e+01
3.553250934970814967e+01,3.264394084969407572e+01,3.182354980059777816e+01,2.277017867128672890e+01,2.826036471283550711e+01,4.896945661587777465e+01
3.555326032797687930e+01,3.263722367635473631e+01,3.180951599566838439e+01,2.268244914795180378e+01,2.814601333430734442e+01,4.917153751774085180e+01
3.557029379978571626e+01,3.263170426027031112e+01,3.179800193994396906e+01,2.261040666260994314e+01,2.805069512475207461e+01,4.933889821263797870e+01
3.558443367291321380e+01,3.262711858232677997e+01,3.178844774476001334e+01,2.255057555765296229e+01,2.797056020206848359e+01,4.947886424027855412e+01
3.559629108448177703e+01,3.262327038571481808e+01,3.178043852980341910e+01,2.250037951494867272e+01,2.790264655806695515e+01,4.959697392698436147e+01
3.560632609438656004e+01,3.262001166382401607e+01,3.177366224178943455e+01,2.245787949829845687e+01,2.784465671298431744e+01,4.969746378871723635e+01
3.561488979513563180e+01,3.261722929400499993e+01,3.176788091085937538e+01,2.242159560882805280e+01,2.779479332546344494e+01,4.978361106570849870e+01
3.562225351935402529e+01,3.261483573868565600e+01,3.176291074196033293e+01,2.239038383931024256e+01,2.775163815993727923e+01,4.985797800075246755e+01
