# 5 kg/s Parallel,10 kg/s Parallel,15 kg/s Parallel,20 kg/s Parallel,25 kg/s Parallel,30 kg/s Parallel,5 kg/s Non-Parallel,10 kg/s Non-Parallel,15 kg/s Non-Parallel,20 kg/s Non-Parallel,25 kg/s Non-Parallel,30 kg/s Non-Parallel
4.316080381374959870e+03,8.638184907044265856e+03,1.296557363677108879e+04,1.729795509773443337e+04,2.163515842385210635e+04,2.597706904330887483e+04,3.534946907110856955e+03,7.080176736706611337e+03,1.063447408472632560e+04,1.419736593976060612e+04,1.776857762186374748e+04,2.134792632876183052e+04
4.316078545282342930e+03,8.638177562664972356e+03,1.296555711189412250e+04,1.729792572012704841e+04,2.163511252125541796e+04,2.597700294343334826e+04,3.534943798571714069e+03,7.080164317044954259e+03,1.063444617070105596e+04,1.419731636623935992e+04,1.776850024123736875e+04,2.134781501058471258e+04
4.316076832949681375e+03,8.638170713326115219e+03,1.296554170085973601e+04,1.729789832268749524e+04,2.163506971267667905e+04,2.597694129895294463e+04,3.534940899556493605e+03,7.080152734486028749e+03,1.063442013808487536e+04,1.419727013391697437e+04,1.776842807587878633e+04,2.134771119484363953e+04
4.316075233499274873e+03,8.638164315516825809e+03,1.296552730576825888e+04,1.729787273137176453e+04,2.163502972617169144e+04,2.597688371826704679e+04,3.534938191649815053e+03,7.080141915457310461e+03,1.063439582152537696e+04,1.419722694915044667e+04,1.776836066745196513e+04,2.134761422221320026e+04
4.316073737222790442e+03,8.638158330403661239e+03,1.296551383924448237e+04,1.729784879084568456e+04,2.163499231903020336e+04,2.597682985187229860e+04,3.534935658415905891e+03,7.080131794294917199e+03,1.063437307344430155e+04,1.419718654986031834e+04,1.776829760688582246e+04,2.134752350423462849e+04
4.316072335433550506e+03,8.638152723239987608e+03,1.296550122310821644e+04,1.729782636212209036e+04,2.163495727408462699e+04,2.597677938704665576e+04,3.534933285148633331e+03,7.080122312244915520e+03,1.063435176179308291e+04,1.419714870154519485e+04,1.776823852815373903e+04,2.134743851436827026e+04
4.316071020340249561e+03,8.638147462860471933e+03,1.296548938723739593e+04,1.729780532053937350e+04,2.163492439655060662e+04,2.597673204330014414e+04,3.534931058657578433e+03,7.080113416608955049e+03,1.063433176813234058e+04,1.419711319387118965e+04,1.776818310295079937e+04,2.134735878033668632e+04
4.316069784938395060e+03,8.638142521247104014e+03,1.296547826859144516e+04,1.729778555402519123e+04,2.163489351131492367e+04,2.597668756846907127e+04,3.534928967084358192e+03,7.080105060010204397e+03,1.063431298598283502e+04,1.419707983774368404e+04,1.776813103612306804e+04,2.134728387755034419e+04
4.316068622916856839e+03,8.638137873155377747e+03,1.296546781037015899e+04,1.729776696160122810e+04,2.163486446059855734e+04,2.597664573535123782e+04,3.534926999744447585e+03,7.080097199761540651e+03,1.063429531940498964e+04,1.419704846278487639e+04,1.776808206173063809e+04,2.134721342344398363e+04
4.316067528577138546e+03,8.638133495791225869e+03,1.296545796128677102e+04,1.729774945209082944e+04,2.163483710193782463e+04,2.597660633879858869e+04,3.534925146990392022e+03,7.080089797319207719e+03,1.063427868177129676e+04,1.419701891515369243e+04,1.776803593964498214e+04,2.134714707258238195e+04
4.316066496763327450e+03,8.638129368531026557e+03,1.296544867493807214e+04,1.729773294299934059e+04,2.163481130643450888e+04,2.597656919319726148e+04,3.534923400093362943e+03,7.080082817809363405e+03,1.063426299470232334e+04,1.419699105565662649e+04,1.776799245260024327e+04,2.134708451241850344e+04
4.316065522801301086e+03,8.638125472678248116e+03,1.296543990925682556e+04,1.729771735954038377e+04,2.163478695723470446e+04,2.597653413027725765e+04,3.534921751140157994e+03,7.080076229616737692e+03,1.063424818714212415e+04,1.419696475810545417e+04,1.776795140362999882e+04,2.134702545960668431e+04
4.316064602445674609e+03,8.638121791251332979e+03,1.296543162603445489e+04,1.729770263378753953e+04,2.163476394820315909e+04,2.597650099720351864e+04,3.534920192943396614e+03,7.080070004025895287e+03,1.063423419455206385e+04,1.419693990788592237e+04,1.776791261383334859e+04,2.134696965678841661e+04
4.316063731833468410e+03,8.638118308798329963e+03,1.296542379050404088e+04,1.729768870393279212e+04,2.163474218276472311e+04,2.597646965490757430e+04,3.534918718963090214e+03,7.080064114907853764e+03,1.063422095820648974e+04,1.419691640070687572e+04,1.776787592042214965e+04,2.134691686978427606e+04
4.316062907443502809e+03,8.638115011234503982e+03,1.296541637097485182e+04,1.729767551363695748e+04,2.163472157288927338e+04,2.597643997662578840e+04,3.534917323237908022e+03,7.080058538445443446e+03,1.063420842457561412e+04,1.419689414150431548e+04,1.776784117501091168e+04,2.134686688513305489e+04
4.316062126060738592e+03,8.638111885699672712e+03,1.296540933851146838e+04,1.729766301145928082e+04,2.163470203820041934e+04,2.597641184661578518e+04,3.534916000324811193e+03,7.080053252892203091e+03,1.063419654478340635e+04,1.419687304347870304e+04,1.776780824211380968e+04,2.134681950793058422e+04
4.316061384744871248e+03,8.638108920432678133e+03,1.296540266665121089e+04,1.729765115035481722e+04,2.163468350519029627e+04,2.597638515902623840e+04,3.534914745245875565e+03,7.080048238359934658e+03,1.063418527413045013e+04,1.419685302724777284e+04,1.776777699782245691e+04,2.134677455992684554e+04
4.316060680802672323e+03,8.638106104660466372e+03,1.296539633115473043e+04,1.729763988723149669e+04,2.163466590652740706e+04,2.597635981689942128e+04,3.534913553441444947e+03,7.080043476631441990e+03,1.063417457167281100e+04,1.419683402009853307e+04,1.776774732863843019e+04,2.134673187784721449e+04
4.316060011763433067e+03,8.638103428500309747e+03,1.296539030978578376e+04,1.729762918255793920e+04,2.163464918044400474e+04,2.597633573128967328e+04,3.534912420728644975e+03,7.080038950994838160e+03,1.063416439984971294e+04,1.419681595532609208e+04,1.776771913044139001e+04,2.134669131190777989e+04
