# Fracture 1 Parallel,Fracture 2 Parallel,Fracture 3 Parallel,Fracture 1 Non-Parallel,Fracture 2 Non-Parallel,Fracture 3 Non-Parallel
3.335177351933668888e+01,3.332759212109093028e+01,3.332063435957238084e+01,1.956297548372386785e+01,2.865086965932596641e+01,5.178615485695017640e+01
3.335309880003111971e+01,3.332717938472345054e+01,3.331972181524543686e+01,1.858466593830702251e+01,2.767153554366630885e+01,5.374379851802667218e+01
3.335336541221587936e+01,3.332709634914167651e+01,3.331953823864244413e+01,1.838323548243943151e+01,2.745557159686110538e+01,5.416119292069946312e+01
3.335346043404190652e+01,3.332706675456122269e+01,3.331947281139686368e+01,1.831099323168659865e+01,2.737694318974514474e+01,5.431206357856825662e+01
3.335350472148073209e+01,3.332705296116660065e+01,3.331944231735267437e+01,1.827723803080660758e+01,2.733999274795619172e+01,5.438276922123719004e+01
3.335352886065598454e+01,3.332704544296620952e+01,3.331942569637782015e+01,1.825881641274601463e+01,2.731977071803511237e+01,5.442141286921887655e+01
3.335354344376259661e+01,3.332704090101966443e+01,3.331941565521773896e+01,1.824767945795178647e+01,2.730752593424902130e+01,5.444479460779919577e+01
3.335355292003733751e+01,3.332703794960710297e+01,3.331940913035555951e+01,1.824043929682715870e+01,2.729955774584773565e+01,5.446000295732510210e+01
3.335355942207736746e+01,3.332703592452736530e+01,3.331940465339525304e+01,1.823547006135503779e+01,2.729408526727282336e+01,5.447044467137214241e+01
3.335356407551473268e+01,3.332703447520001561e+01,3.331940144928524461e+01,1.823191289401736981e+01,2.729016607705569442e+01,5.447792102892693578e+01
3.335356751991075441e+01,3.332703340243195100e+01,3.331939907765729458e+01,1.822927953976959259e+01,2.728726376118655850e+01,5.448345669904385602e+01
3.335357014044191715e+01,3.332703258625914344e+01,3.331939727329893941e+01,1.822727582984780881e+01,2.728505485351112014e+01,5.448766931664106039e+01
3.335357218030112136e+01,3.332703195093834836e+01,3.331939586876052317e+01,1.822571597694785339e+01,2.728333493127664156e+01,5.449094909177549795e+01
3.335357379915964771e+01,3.332703144673958207e+01,3.331939475410076312e+01,1.822447797269431291e+01,2.728196968179480919e+01,5.449355234551087790e+01
3.335357510536093173e+01,3.332703103991885030e+01,3.331939385472023218e+01,1.822347901485478516e+01,2.728086791729333882e+01,5.449565306785186891e+01
3.335357617451640522e+01,3.332703070692677727e+01,3.331939311855681041e+01,1.822266130865063971e+01,2.727996597050951877e+01,5.449737272083984152e+01
3.335357706069191863e+01,3.332703043092444517e+01,3.331939250838364330e+01,1.822198352340290839e+01,2.727921829990211222e+01,5.449879817669497584e+01
3.335357780337538713e+01,3.332703019961321900e+01,3.331939199701139387e+01,1.822141546968796888e+01,2.727859163351666894e+01,5.449999289679535508e+01
3.335357843195097161e+01,3.332703000384121594e+01,3.331939156420781956e+01,1.822093468090020352e+01,2.727806120658123490e+01,5.450100411251855803e+01
3.335357896864950078e+01,3.332702983668461627e+01,3.331939119466587584e+01,1.822052415861246288e+01,2.727760827919669850e+01,5.450186756219083861e+01
3.335357943054067675e+01,3.332702969282706107e+01,3.331939087663226928e+01,1.822017085004018000e+01,2.727721845960125080e+01,5.450261069035856565e+01
3.335357983090683121e+01,3.332702956813163553e+01,3.331939060096152616e+01,1.821986459803655478e+01,2.727688054755639868e+01,5.450325485440704654e+01
3.335358018020831850e+01,3.332702945934055094e+01,3.331939036045113056e+01,1.821959740316651377e+01,2.727658572133875481e+01,5.450381687549472787e+01
3.335358048677351661e+01,3.332702936385972947e+01,3.331939014936675392e+01,1.821936289619292637e+01,2.727632695645440108e+01,5.450431014735266189e+01
3.335358075729953242e+01,3.332702927960347949e+01,3.331938996309699519e+01,1.821915595510406050e+01,2.727609860356656668e+01,5.450474544132938348e+01
3.335358099722141390e+01,3.332702920487895426e+01,3.331938979789962474e+01,1.821897242313209020e+01,2.727589607768491931e+01,5.450513149918299405e+01
3.335358121098698803e+01,3.332702913830097913e+01,3.331938965071203995e+01,1.821880889843621887e+01,2.727571562632082802e+01,5.450547547524296021e+01
3.335358140226449564e+01,3.332702907872692322e+01,3.331938951900858115e+01,1.821866257536789035e+01,2.727555415448710718e+01,5.450578327014500246e+01
3.335358157410099267e+01,3.332702902520787802e+01,3.331938940069112220e+01,1.821853112335144687e+01,2.727540909115528933e+01,5.450605978549326380e+01
3.335358172904440011e+01,3.332702897695018862e+01,3.331938929400541127e+01,1.821841259352729026e+01,2.727527828631611939e+01,5.450630912015657970e+01
3.335358186923858881e+01,3.332702893328619353e+01,3.331938919747522476e+01,1.821830534611724062e+01,2.727515993088283608e+01,5.450653472299993041e+01
3.335358199649768096e+01,3.332702889365094734e+01,3.331938910985137170e+01,1.821820799341713126e+01,2.727505249382285868e+01,5.450673951276000651e+01
3.335358211236535197e+01,3.332702885756356181e+01,3.331938903007110042e+01,1.821811935468863197e+01,2.727495467241070770e+01,5.450692597290065322e+01
3.335358221816173341e+01,3.332702882461290272e+01,3.331938895722535676e+01,1.821803842019546593e+01,2.727486535256187139e+01,5.450709622724266978e+01
3.335358231502095094e+01,3.332702879444578770e+01,3.331938889053325425e+01,1.821796432232399710e+01,2.727478357698019806e+01,5.450725210069580129e+01
3.335358240392211826e+01,3.332702876675716652e+01,3.331938882932071522e+01,1.821789631223782635e+01,2.727470851940715235e+01,5.450739516835503196e+01
3.335358248571359496e+01,3.332702874128293757e+01,3.331938877300345325e+01,1.821783374088670726e+01,2.727463946367386782e+01,5.450752679543941781e+01
3.335358256113380548e+01,3.332702871779306264e+01,3.331938872107313188e+01,1.821777604346574719e+01,2.727457578655752712e+01,5.450764816997673279e+01
3.335358263082761709e+01,3.332702869608667129e+01,3.331938867308571872e+01,1.821772272662657954e+01,2.727451694367408308e+01,5.450776032969933027e+01
3.335358269536051523e+01,3.332702867598766261e+01,3.331938862865182216e+01,1.821767335789750675e+01,2.727446245780650713e+01,5.450786418429598257e+01
3.335358275522962401e+01,3.332702865734127329e+01,3.331938858742910270e+01,1.821762755688702029e+01,2.727441190920069047e+01,5.450796053391230345e+01
3.335358281087383858e+01,3.332702864001070964e+01,3.331938854911544468e+01,1.821758498793517944e+01,2.727436492745822250e+01,5.450805008460659451e+01
3.335358286268147765e+01,3.332702862387500176e+01,3.331938851344352770e+01,1.821754535394705599e+01,2.727432118473296896e+01,5.450813346131997150e+01
3.335358291099733918e+01,3.332702860882682216e+01,3.331938848017584576e+01,1.821750839119534149e+01,2.727428038999700277e+01,5.450821121880765929e+01
3.335358295612827817e+01,3.332702859477068102e+01,3.331938844910104791e+01,1.821747386492232224e+01,2.727424228418826502e+01,5.450828385088941275e+01
3.335358299834816620e+01,3.332702858162115689e+01,3.331938842003067691e+01,1.821744156560350802e+01,2.727420663608810969e+01,5.450835179830837518e+01
3.335358303790212631e+01,3.332702856930191615e+01,3.331938839279595754e+01,1.821741130576170065e+01,2.727417323880603206e+01,5.450841545543227085e+01
3.335358307500991515e+01,3.332702855774459039e+01,3.331938836724549446e+01,1.821738291724057035e+01,2.727414190677156114e+01,5.450847517598786851e+01
3.335358310986921282e+01,3.332702854688754712e+01,3.331938834324323295e+01,1.821735624886358806e+01,2.727411247315130183e+01,5.450853127798510656e+01
3.335358314265802449e+01,3.332702853667537113e+01,3.331938832066659728e+01,1.821733116441751221e+01,2.727408478762341915e+01,5.450858404795907575e+01
3.335358317353720281e+01,3.332702852705788388e+01,3.331938829940492042e+01,1.821730754090950555e+01,2.727405871445514052e+01,5.450863374463536104e+01
3.335358320265208931e+01,3.332702851799000143e+01,3.331938827935790925e+01,1.821728526705712525e+01,2.727403413083615646e+01,5.450868060210672184e+01
3.335358323013474546e+01,3.332702850943039152e+01,3.331938826043486301e+01,1.821726424197490957e+01,2.727401092542966055e+01,5.450872483259542634e+01
3.335358325610476982e+01,3.332702850134193540e+01,3.331938824255330189e+01,1.821724437403075925e+01,2.727398899710995295e+01,5.450876662885928425e+01
3.335358328067118094e+01,3.332702849369065490e+01,3.331938822563816416e+01,1.821722557984529800e+01,2.727396825385882551e+01,5.450880616629587649e+01
