# Fracture 1 Parallel,Fracture 2 Parallel,Fracture 3 Parallel,Fracture 1 Non-Parallel,Fracture 2 Non-Parallel,Fracture 3 Non-Parallel
3.335589753422460291e+01,3.332628485877118862e+01,3.331781760700420136e+01,1.995608617520565176e+01,2.900428597651471563e+01,5.103962784827962196e+01
3.335804232198233166e+01,3.332561464907538351e+01,3.331634302894227773e+01,1.871087391783077436e+01,2.779512874640307984e+01,5.349399733576613869e+01
3.335848505980242606e+01,3.332547629129673794e+01,3.331603864890085021e+01,1.844665577276389001e+01,2.751439523448690494e+01,5.403894899274920505e+01
3.335864379075935204e+01,3.332542668622600246e+01,3.331592952301464550e+01,1.835116337616743110e+01,2.741088491114628312e+01,5.423795171268627513e+01
3.335871794090604681e+01,3.332540351337944173e+01,3.331587854571450436e+01,1.830640794268179761e+01,2.736199964259961703e+01,5.433159241471858536e+01
3.335875840242601242e+01,3.332539086860711564e+01,3.331585072896686484e+01,1.828194586694258561e+01,2.733518026371422138e+01,5.438287386934318590e+01
3.335878286185349140e+01,3.332538322469068248e+01,3.331583391345582612e+01,1.826714428325409045e+01,2.731891802931002999e+01,5.441393768743587600e+01
3.335879876216774420e+01,3.332537825561211520e+01,3.331582298222013350e+01,1.825751653804481833e+01,2.730832633525158570e+01,5.443415712670359596e+01
3.335880967485820037e+01,3.332537484523552962e+01,3.331581547990627001e+01,1.825090622342152002e+01,2.730104785988504190e+01,5.444804591669343097e+01
3.335881748638210098e+01,3.332537240401786960e+01,3.331581010960002232e+01,1.824617311909159767e+01,2.729583317902108419e+01,5.445799370188731814e+01
3.335882326911095674e+01,3.332537059682819347e+01,3.331580613406084979e+01,1.824266858372066835e+01,2.729197037022880323e+01,5.446536104605053197e+01
3.335882766910822284e+01,3.332536922176252148e+01,3.331580310912925569e+01,1.824000162979463724e+01,2.728902980129817735e+01,5.447096856890718186e+01
3.335883109439216554e+01,3.332536815130921326e+01,3.331580075429862120e+01,1.823792523438206459e+01,2.728673979942210082e+01,5.447533496619584525e+01
3.335883381290518912e+01,3.332536730173245587e+01,3.331579888536234790e+01,1.823627713085496538e+01,2.728492178823905689e+01,5.447880108090598128e+01
3.335883600648543990e+01,3.332536661620505214e+01,3.331579737730950086e+01,1.823494717185547032e+01,2.728345448699198172e+01,5.448159834115254796e+01
3.335883780205102056e+01,3.332536605506329863e+01,3.331579614288569502e+01,1.823385846305586000e+01,2.728225319447575714e+01,5.448388834246837575e+01
3.335883929036342010e+01,3.332536558994277698e+01,3.331579511969381002e+01,1.823295600759751167e+01,2.728125731011703436e+01,5.448578668228544331e+01
3.335884053771759028e+01,3.332536520012538972e+01,3.331579426215702000e+01,1.823219962925377757e+01,2.728042255206177913e+01,5.448737781868443619e+01
3.335884159344865907e+01,3.332536487019318372e+01,3.331579353635814300e+01,1.823155942655691319e+01,2.727971595576817521e+01,5.448872461767489739e+01
3.335884249488389486e+01,3.332536458848075966e+01,3.331579291663535969e+01,1.823101277401594444e+01,2.727911257329200723e+01,5.448987465269205188e+01
3.335884327068602317e+01,3.332536434603063213e+01,3.331579238328334469e+01,1.823054229676413129e+01,2.727859324320065326e+01,5.449086446003522610e+01
3.335884394315897339e+01,3.332536413587247637e+01,3.331579192096854314e+01,1.823013447361181250e+01,2.727814305194291578e+01,5.449172247444526818e+01
3.335884452986866933e+01,3.332536395251663919e+01,3.331579151761467728e+01,1.822977865518836182e+01,2.727775025212400095e+01,5.449247109268764433e+01
3.335884504480105761e+01,3.332536379159225248e+01,3.331579116360669701e+01,1.822946636198565074e+01,2.727740548897714135e+01,5.449312814903721858e+01
3.335884549920352526e+01,3.332536364958447450e+01,3.331579085121199313e+01,1.822919077469898497e+01,2.727710123862932434e+01,5.449370798667169424e+01
3.335884590220359058e+01,3.332536352364066090e+01,3.331579057415574141e+01,1.822894635894006043e+01,2.727683139439845306e+01,5.449422224666147230e+01
