# Fracture 1 Parallel,Fracture 2 Parallel,Fracture 3 Parallel,Fracture 1 Non-Parallel,Fracture 2 Non-Parallel,Fracture 3 Non-Parallel
3.336301764388940683e+01,3.332401574780006115e+01,3.331296660831054623e+01,2.066818728599299604e+01,2.959893892825181538e+01,4.973287378575517437e+01
3.336718284223272946e+01,3.332270776171525029e+01,3.331010939605201315e+01,1.895469985502891319e+01,2.802978131102808490e+01,5.301551883394299836e+01
3.336808590417386711e+01,3.332242413843102469e+01,3.330948995739511531e+01,1.857077786924769924e+01,2.762913718542547414e+01,5.380008494532682306e+01
3.336841346984697054e+01,3.332232125685490587e+01,3.330926527329812359e+01,1.842995646056179027e+01,2.747773647592966029e+01,5.409230706350855655e+01
3.336856718620694551e+01,3.332227297707922986e+01,3.330915983671381753e+01,1.836356011850082837e+01,2.740553131654653995e+01,5.423090856495262813e+01
3.336865125258709952e+01,3.332224657303514448e+01,3.330910217437774890e+01,1.832716070689064125e+01,2.736572513647110227e+01,5.430711415663824937e+01
3.336870213616032999e+01,3.332223059117287534e+01,3.330906727266679468e+01,1.830509823591691188e+01,2.734152129357782357e+01,5.435338047050526455e+01
3.336873524011286207e+01,3.332222019363089771e+01,3.330904456625624732e+01,1.829073222439706470e+01,2.732572994486653783e+01,5.438353783073639391e+01
3.336875797191258641e+01,3.332221305384238974e+01,3.330902897424502385e+01,1.828086160973432683e+01,2.731486585864863059e+01,5.440427253161704613e+01
3.336877424975688200e+01,3.332220794115893625e+01,3.330901780908418175e+01,1.827379053460601455e+01,2.730707600283410130e+01,5.441913346255987705e+01
3.336878630315545280e+01,3.332220415532209046e+01,3.330900954152245674e+01,1.826855298852700216e+01,2.730130224680777928e+01,5.443014476466522211e+01
3.336879547624571529e+01,3.332220127415590838e+01,3.330900324959837633e+01,1.826456612431893234e+01,2.729690504282250174e+01,5.443852883285858013e+01
3.336880261835296579e+01,3.332219903089806934e+01,3.330899835074896487e+01,1.826146144206708755e+01,2.729347951740216871e+01,5.444505904053074374e+01
3.336880828744433813e+01,3.332219725029767687e+01,3.330899446225799210e+01,1.825899674688439944e+01,2.729075930596150457e+01,5.445024394715409954e+01
3.336881286229920818e+01,3.332219581338476644e+01,3.330899132431602538e+01,1.825700756597862551e+01,2.728856338261371661e+01,5.445442905140765788e+01
3.336881660736102617e+01,3.332219463710067231e+01,3.330898875553829441e+01,1.825537904139494572e+01,2.728676525209580817e+01,5.445785570650924967e+01
3.336881971177601258e+01,3.332219366203670319e+01,3.330898662618729134e+01,1.825402900119160776e+01,2.728527437193941196e+01,5.446069662686897317e+01
3.336882231372443641e+01,3.332219284479208454e+01,3.330898484148348615e+01,1.825289740373969849e+01,2.728402455736403454e+01,5.446307803889626342e+01
3.336882451605148958e+01,3.332219215306425042e+01,3.330898333088424579e+01,1.825193955423577208e+01,2.728296652394935506e+01,5.446509392181487641e+01
3.336882639657897442e+01,3.332219156241017544e+01,3.330898204101085014e+01,1.825112162822596318e+01,2.728206296327637759e+01,5.446681540849767345e+01
3.336882801507034912e+01,3.332219105405890502e+01,3.330898093087073875e+01,1.825041764732237937e+01,2.728128521423996489e+01,5.446829713843766285e+01
3.336882941803455083e+01,3.332219061340241950e+01,3.330897996856302967e+01,1.824980739273271979e+01,2.728061096550734632e+01,5.446958164175993744e+01
3.336883064210297789e+01,3.332219022893519167e+01,3.330897912896182333e+01,1.824927493844554149e+01,2.728002263968179975e+01,5.447070242187266587e+01
3.336883171644382173e+01,3.332218989149581034e+01,3.330897839206038213e+01,1.824880760236860411e+01,2.727950623748975190e+01,5.447168616014165110e+01
