# Fracture 1 Parallel,Fracture 2 Parallel,Fracture 3 Parallel,Fracture 1 Non-Parallel,Fracture 2 Non-Parallel,Fracture 3 Non-Parallel
3.335961938265682392e+01,3.332510061425175252e+01,3.331528000309142357e+01,2.032346562306618409e+01,2.931837921684089565e+01,5.035815516009291315e+01
3.336271760124265739e+01,3.332412987518441128e+01,3.331315252357293133e+01,1.883415154003653669e+01,2.791447461250978179e+01,5.325137384745368507e+01
3.336337329969034471e+01,3.332392441020713392e+01,3.331270229010252137e+01,1.850913535768948393e+01,2.757224125568037820e+01,5.391862338663013787e+01
3.336360976358790253e+01,3.332385031170559131e+01,3.331253992470650616e+01,1.839078681874808652e+01,2.744447953261813922e+01,5.416473364863377782e+01
3.336372047780168515e+01,3.332381561787268964e+01,3.331246390432563942e+01,1.833515178053061945e+01,2.738384383981852110e+01,5.428100437965085234e+01
3.336378095899537044e+01,3.332379666515917904e+01,3.331242237584545052e+01,1.830469736485584775e+01,2.735049673951100857e+01,5.434480589563314368e+01
3.336381754376503750e+01,3.332378520072590078e+01,3.331239725550905462e+01,1.828625405596956810e+01,2.733024827712900517e+01,5.438349766690143383e+01
3.336384133578390276e+01,3.332377774509639323e+01,3.331238091911971111e+01,1.827425108746021465e+01,2.731704892147303099e+01,5.440869999106675436e+01
3.336385766898911953e+01,3.332377262680566332e+01,3.331236970420521004e+01,1.826600701588443698e+01,2.730797327538178010e+01,5.442601970873379713e+01
3.336386936277012438e+01,3.332376896235539476e+01,3.331236167487448796e+01,1.826010263257240851e+01,2.730146839197361430e+01,5.443842897545398074e+01
3.336387802061552321e+01,3.332376624926682496e+01,3.331235573011765183e+01,1.825573004967531787e+01,2.729664844917891031e+01,5.444762150114576826e+01
3.336388460890553631e+01,3.332376418470905577e+01,3.331235120638540081e+01,1.825240205626370127e+01,2.729297845703104741e+01,5.445461948670524777e+01
3.336388973811170189e+01,3.332376257738060588e+01,3.331234768450768513e+01,1.824981072672932214e+01,2.729011992725673252e+01,5.446006934601393823e+01
3.336389380920566339e+01,3.332376130163022054e+01,3.331234488916411607e+01,1.824775373318982474e+01,2.728785026700720096e+01,5.446439599980297430e+01
3.336389709434740780e+01,3.332376027217177494e+01,3.331234263348082436e+01,1.824609370534751562e+01,2.728601824997470260e+01,5.446788804467777823e+01
3.336389978352094232e+01,3.332375942947064829e+01,3.331234078700840939e+01,1.824473472819964215e+01,2.728451823259614528e+01,5.447074703920421257e+01
3.336390201260087451e+01,3.332375873094800056e+01,3.331233925645113203e+01,1.824360819139638679e+01,2.728327461419369726e+01,5.447311719440991595e+01
3.336390388084195990e+01,3.332375814550074011e+01,3.331233797365729288e+01,1.824266396816176083e+01,2.728223214211125125e+01,5.447510388972698081e+01
3.336390546211283237e+01,3.332375764998074885e+01,3.331233688790642589e+01,1.824186474776288946e+01,2.728134967869024052e+01,5.447678557354687001e+01
3.336390681230574984e+01,3.332375722687319097e+01,3.331233596082105208e+01,1.824118229613286957e+01,2.728059608655186707e+01,5.447822161731525625e+01
3.336390797434113153e+01,3.332375686272821724e+01,3.331233516293065122e+01,1.824059492994531695e+01,2.727994744786901293e+01,5.447945762218567722e+01
3.336390898161939589e+01,3.332375654707914236e+01,3.331233447130146885e+01,1.824008577418615573e+01,2.727938514543283333e+01,5.448052908038101094e+01
3.336390986044593632e+01,3.332375627168281085e+01,3.331233386787125994e+01,1.823964153733729887e+01,2.727889451332177373e+01,5.448146394934092740e+01
3.336391063176644423e+01,3.332375602997541364e+01,3.331233333825814924e+01,1.823925163564063112e+01,2.727846387186681909e+01,5.448228449249255334e+01
3.336391131242509545e+01,3.332375581667854902e+01,3.331233287089636974e+01,1.823890755721406975e+01,2.727808382675402399e+01,5.448300861603190270e+01
3.336391191609215667e+01,3.332375562750840459e+01,3.331233245639945295e+01,1.823860239378572246e+01,2.727774675277345651e+01,5.448365085344083525e+01
3.336391245395544303e+01,3.332375545895903457e+01,3.331233208708551530e+01,1.823833049139302176e+01,2.727744640865103420e+01,5.448422309995594048e+01
3.336391293524209090e+01,3.332375530813907716e+01,3.331233175661883905e+01,1.823808718672184526e+01,2.727717764626649810e+01,5.448473516701165664e+01
3.336391336761703741e+01,3.332375517264645737e+01,3.331233145973651943e+01,1.823786860590536918e+01,2.727693618872291026e+01,5.448519520537171701e+01
3.336391375748977595e+01,3.332375505047265563e+01,3.331233119203754711e+01,1.823767150942867943e+01,2.727671845925057070e+01,5.448561003132075342e+01
3.336391411025345377e+01,3.332375493992764603e+01,3.331233094981887888e+01,1.823749317144977056e+01,2.727652144806120305e+01,5.448598538048901929e+01
3.336391443047215688e+01,3.332375483958124818e+01,3.331233072994659494e+01,1.823733128507724999e+01,2.727634260783049314e+01,5.448632610709226753e+01
3.336391472202933528e+01,3.332375474821645867e+01,3.331233052975420605e+01,1.823718388741623642e+01,2.727617977098431723e+01,5.448663634159944991e+01
3.336391498824596624e+01,3.332375466479257398e+01,3.331233034696145978e+01,1.823704929980418044e+01,2.727603108374196239e+01,5.448691961645385362e+01
3.336391523197570308e+01,3.332375458841539739e+01,3.331233017960891374e+01,1.823692607981769598e+01,2.727589495314624202e+01,5.448717896703606556e+01
3.336391545568150008e+01,3.332375451831310187e+01,3.331233002600540516e+01,1.823681298247397464e+01,2.727577000423847053e+01,5.448741701328755482e+01
3.336391566149814736e+01,3.332375445381664747e+01,3.331232988468521228e+01,1.823670892866758919e+01,2.727565504521709983e+01,5.448763602611530388e+01
3.336391585128333759e+01,3.332375439434396469e+01,3.331232975437269062e+01,1.823661297934040704e+01,2.727554903892341898e+01,5.448783798173616333e+01
3.336391602665976563e+01,3.332375433938658915e+01,3.331232963395365942e+01,1.823652431422502218e+01,2.727545107937513080e+01,5.448802460639983991e+01
3.336391618904989542e+01,3.332375428849859134e+01,3.331232952245152035e+01,1.823644221425900724e+01,2.727536037235055488e+01,5.448819741339043787e+01
3.336391633970484349e+01,3.332375424128810693e+01,3.331232941900704958e+01,1.823636604696288543e+01,2.727527621924527068e+01,5.448835773379185099e+01
3.336391647972875774e+01,3.332375419740902345e+01,3.331232932286221882e+01,1.823629525422500564e+01,2.727519800358444968e+01,5.448850674219053758e+01
3.336391661009866283e+01,3.332375415655519646e+01,3.331232923334612650e+01,1.823622934205017643e+01,2.727512517970414763e+01,5.448864547824567950e+01
