# Fracture 1 Parallel,Fracture 2 Parallel,Fracture 3 Parallel,Fracture 1 Non-Parallel,Fracture 2 Non-Parallel,Fracture 3 Non-Parallel
3.334163615414265536e+01,3.333078038601252047e+01,3.332758345984481707e+01,1.868294804285558897e+01,2.779547292990156393e+01,5.352157902724285066e+01
3.334183835168984444e+01,3.333071820557827181e+01,3.332744344273187664e+01,1.832205535377492467e+01,2.741067109039172323e+01,5.426727355583336276e+01
3.334187688138587191e+01,3.333070635671634108e+01,3.332741676189778701e+01,1.825260545959277891e+01,2.733485093113590025e+01,5.441254360927131017e+01
3.334189044939044066e+01,3.333070218420289166e+01,3.332740736640666057e+01,1.822809372524858773e+01,2.730795558815133361e+01,5.446395068660008576e+01
3.334189674403959458e+01,3.333070024843381418e+01,3.332740300752659834e+01,1.821671197313409252e+01,2.729544308623095716e+01,5.448784494063496453e+01
3.334190016723864147e+01,3.333069919571033068e+01,3.332740063705102784e+01,1.821051960981900564e+01,2.728862915247693977e+01,5.450085123770406170e+01
3.334190223264266706e+01,3.333069856054435576e+01,3.332739920681298429e+01,1.820678250707040036e+01,2.728451475831552386e+01,5.450870273461407578e+01
3.334190357370243873e+01,3.333069814813316611e+01,3.332739827816439515e+01,1.820435565188128635e+01,2.728184201645393259e+01,5.451380233166477041e+01
3.334190449337113193e+01,3.333069786531083878e+01,3.332739764131803639e+01,1.820269120162850385e+01,2.728000852714838231e+01,5.451730027122312094e+01
3.334190515132593902e+01,3.333069766297240477e+01,3.332739718570166332e+01,1.820150032737660339e+01,2.727869651053050504e+01,5.451980316209288446e+01
3.334190563820303765e+01,3.333069751324483576e+01,3.332739684855211948e+01,1.820061905249724532e+01,2.727772548060746161e+01,5.452165546689530373e+01
3.334190600855001918e+01,3.333069739935336173e+01,3.332739659209661909e+01,1.819994867804914307e+01,2.727698676979337122e+01,5.452306455215749281e+01
3.334190629678925433e+01,3.333069731071222463e+01,3.332739639249850683e+01,1.819942691370323828e+01,2.727641178164731883e+01,5.452416130464943222e+01
