# 5 kg/s Parallel,10 kg/s Parallel,15 kg/s Parallel,20 kg/s Parallel,25 kg/s Parallel,30 kg/s Parallel,35 kg/s Parallel,40 kg/s Parallel,45 kg/s Parallel,50 kg/s Parallel,5 kg/s Non-Parallel,10 kg/s Non-Parallel,15 kg/s Non-Parallel,20 kg/s Non-Parallel,25 kg/s Non-Parallel,30 kg/s Non-Parallel,35 kg/s Non-Parallel,40 kg/s Non-Parallel,45 kg/s Non-Parallel,50 kg/s Non-Parallel
7.724025438684116125e+02,2.826074191005670400e+03,6.159431576246957775e+03,1.077185804113925951e+04,1.666299607291637585e+04,2.383260863059815165e+04,3.228052643616357091e+04,4.200662264380711713e+04,5.301079890783933661e+04,6.529297700228061149e+04,0.000000000000000000e+00,0.000000000000000000e+00
2.968325293895202890e+02,9.237941330901053334e+02,1.879301445936936943e+03,3.162737809476998336e+03,4.773745710944095663e+03,6.712088109358067413e+03,8.977595726697900318e+03,1.157014171715806515e+04,1.448962773504915094e+04,1.773597555439148346e+04,0.000000000000000000e+00,0.000000000000000000e+00
2.087640081897254447e+02,5.715200482909265247e+02,1.086684755138784567e+03,1.753641470280283102e+03,2.572032680949228507e+03,3.541621346165460182e+03,4.662238187907963038e+03,5.933756360371205119e+03,7.356077517865782283e+03,8.929123434412014831e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.779400257697975576e+02,4.482241186112138394e+02,8.092689133594315081e+02,1.260457751561432815e+03,1.801433120451024934e+03,2.431957979048047036e+03,3.151863049331484490e+03,3.961021485495804882e+03,4.859334941851603617e+03,5.846725192419201449e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.636729253354307900e+02,3.911557168737468828e+02,6.808650094501313106e+02,1.032184144611564761e+03,1.444755609591856910e+03,1.918342363410845110e+03,2.452775128047514499e+03,3.047927057696333122e+03,3.703699806667897974e+03,4.420015148982527535e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.559228954698489815e+02,3.601555974114190803e+02,6.111147406598937550e+02,9.081836667622540062e+02,1.251004862952308713e+03,1.639341288249895115e+03,2.073023664633999942e+03,2.551925146299089647e+03,3.075947387555761452e+03,3.645012162424334747e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.512498718959823520e+02,3.414635031159525056e+02,5.690575284950939476e+02,8.334152895803871388e+02,1.134179273605642038e+03,1.471112439590695885e+03,1.844045509514533478e+03,2.252851637571622632e+03,2.697432478072562390e+03,3.177709805037668957e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.482168998648664626e+02,3.293316149914912216e+02,5.417607802150554335e+02,7.848877370825413209e+02,1.058354972827757820e+03,1.361925446470541829e+03,1.695429879989879737e+03,2.058741427580238906e+03,2.451761743552216558e+03,2.874412601926131629e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.461375042254270795e+02,3.210140324337326092e+02,5.230462194600989960e+02,7.516174068515076669e+02,1.006370081841767387e+03,1.287067203450716761e+03,1.593539493657339563e+03,1.925660106656104290e+03,2.283330696757609530e+03,2.666473037982171718e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.446501247562747778e+02,3.150645145571244257e+02,5.096598042377303273e+02,7.278193353450743643e+02,9.691855951129655296e+02,1.233521542561241631e+03,1.520657899668887239e+03,1.830467820630371079e+03,2.162852959756290602e+03,2.517735091066962923e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.435496321607868424e+02,3.106625441751710355e+02,4.997553708783349293e+02,7.102114538172612583e+02,9.416732802257570256e+02,1.193903809123661176e+03,1.466733762489958508e+03,1.760036294519117064e+03,2.073713059521734522e+03,2.407685831518128452e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.427126172898797449e+02,3.073144846915426456e+02,4.922222370401710805e+02,6.968192158827465619e+02,9.207479084530784803e+02,1.163771273771004189e+03,1.425720033815508714e+03,1.706467342781060324e+03,2.005914854978256471e+03,2.323984344427414271e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.420612229023070086e+02,3.047089071412527801e+02,4.863596875520187268e+02,6.863969056815877821e+02,9.044630487637673468e+02,1.140321075818396366e+03,1.393801708824459183e+03,1.664778101976423613e+03,1.953151909584888244e+03,2.258844905670170192e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.415443613964130805e+02,3.026414611176759877e+02,4.817079339989711002e+02,6.781271215872800440e+02,8.915415111164120390e+02,1.121714061606204268e+03,1.368475495035642098e+03,1.631698965599194025e+03,1.911286127607456365e+03,2.207158755080748051e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.411273839082834911e+02,3.009735511651570619e+02,4.779551366058043413e+02,6.714554817772055912e+02,8.811170739131707705e+02,1.106702872033537233e+03,1.348043598117289775e+03,1.605012406358896669e+03,1.877510951068955592e+03,2.165461006267784796e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.407861183886338381e+02,2.996084890865600983e+02,4.748837469289612159e+02,6.659952334628186463e+02,8.725854359219407570e+02,1.094417313326165868e+03,1.331321587654479117e+03,1.583171413101347753e+03,1.849868443977370134e+03,2.131334454302864287e+03,0.000000000000000000e+00,0.000000000000000000e+00
1.405032858756979692e+02,2.984771590348154859e+02,4.723382543125356392e+02,6.614699132558391739e+02,8.655146230985358216e+02,1.084235342860462879e+03,1.317462794520605257e+03,1.565070132273431454e+03,1.826959010429538694e+03,2.103051203009244546e+03,0.000000000000000000e+00,0.000000000000000000e+00
