# Fracture 1 Parallel,Fracture 2 Parallel,Fracture 3 Parallel,Fracture 1 Non-Parallel,Fracture 2 Non-Parallel,Fracture 3 Non-Parallel
3.341611911229930598e+01,3.330723584179857966e+01,3.327664504590212147e+01,3.313945619276877608e+01,3.330618459880228244e+01,3.355435920842894149e+01
3.364579898162741500e+01,3.323504755688901469e+01,3.311915346148357031e+01,3.260661785497429577e+01,3.321966573472059991e+01,3.417371641030510432e+01
3.397619951417431849e+01,3.313165830036294324e+01,3.289214218546272406e+01,3.185486444038697584e+01,3.306364943803198031e+01,3.508148612158102964e+01
3.435443108791052680e+01,3.301373361971622700e+01,3.263183529237323910e+01,3.101893549689618368e+01,3.283353997604270802e+01,3.614752452706110120e+01
3.473736169837282972e+01,3.289450787363323059e+01,3.236813042799393259e+01,3.020292638362823112e+01,3.253701389187531845e+01,3.726005972449645043e+01
3.509748426681830580e+01,3.278223026923727446e+01,3.212028546394441264e+01,2.946584449139940531e+01,3.219244913191534607e+01,3.834170637668524506e+01
3.542115793766010512e+01,3.268094145551226148e+01,3.189790060682763340e+01,2.882972977017746530e+01,3.182240764072015793e+01,3.934786258910237677e+01
3.570420424489986999e+01,3.259189636019794989e+01,3.170389939490218012e+01,2.829434049431776543e+01,3.144756644158824699e+01,4.025809306409398403e+01
3.594782936590001299e+01,3.251478289239118880e+01,3.153738774170879466e+01,2.784910247768896951e+01,3.108358666483337274e+01,4.106731085747766485e+01
3.615578767912541025e+01,3.244853948501453544e+01,3.139567283586005075e+01,2.748027585291677966e+01,3.074059647556447317e+01,4.177912767151873652e+01
3.633269945251585398e+01,3.239183516133691398e+01,3.127546538614723204e+01,2.717444984337783609e+01,3.042406212392064901e+01,4.240148803270152200e+01
3.648316928008195958e+01,3.234332411479106639e+01,3.117350660512697047e+01,2.691990110852797713e+01,3.013606616996039733e+01,4.294403272151163975e+01
3.661138539324858243e+01,3.230176575827956498e+01,3.108684884847184904e+01,2.670690137054060997e+01,2.987648533674575546e+01,4.341661329271364878e+01
3.672098101832268213e+01,3.226607037647502096e+01,3.101294860520228980e+01,2.652758217469007818e+01,2.964389592846868382e+01,4.382852189684123800e+01
3.681502633107870537e+01,3.223530645245457293e+01,3.094966721646672525e+01,2.637565412867697745e+01,2.943620151294443232e+01,4.418814435837858667e+01
3.689607816147582753e+01,3.220869002624369415e+01,3.089523181228048188e+01,2.624611055507005730e+01,2.925103732032064840e+01,4.450285212460929785e+01
3.696624961178596891e+01,3.218556701003750220e+01,3.084818337817653600e+01,2.613496437829665453e+01,2.908601444347633702e+01,4.477902117822699779e+01
3.702728128535041918e+01,3.216539400497785550e+01,3.080732470967172887e+01,2.603903096645428050e+01,2.893885678591485799e+01,4.502211224763085795e+01
3.708060618618399928e+01,3.214772021362834664e+01,3.077167360018765407e+01,2.595575514000136863e+01,2.880746971627058528e+01,4.523677514372803898e+01
3.712740558712886241e+01,3.213217148444547888e+01,3.074042292842564805e+01,2.588307576085341921e+01,2.868996710371736825e+01,4.542695713542921254e+01
3.716865565140987115e+01,3.211843674021488937e+01,3.071290760837522882e+01,2.581932057620652898e+01,2.858467416821787666e+01,4.559600525557559081e+01
3.720516565532583542e+01,3.210625667560782404e+01,3.068857766906634055e+01,2.576312475465145724e+01,2.849011715193284289e+01,4.574675809341569988e+01
3.723760901434472714e+01,3.209541446058110381e+01,3.066697652507417615e+01,2.571336772114123903e+01,2.840500655123434015e+01,4.588162572762443148e+01
3.726654833719280902e+01,3.208572814738720069e+01,3.064772351541997608e+01,2.566912403900958850e+01,2.832821790433251863e+01,4.600265805665787866e+01
3.729245561477134174e+01,3.207704449123257007e+01,3.063049989399608819e+01,2.562962505814738279e+01,2.825877240656237177e+01,4.611160253529023834e+01
3.731572848750742111e+01,3.206923392781494186e+01,3.061503758467763348e+01,2.559422882457162984e+01,2.819581856683546306e+01,4.620995260859292131e+01
3.733670336999846739e+01,3.206218648992724951e+01,3.060111014007429020e+01,2.556239634783618087e+01,2.813861548311972882e+01,4.629898816904409387e+01
3.735566606382678145e+01,3.205580848292795793e+01,3.058852545324526773e+01,2.553367278085004699e+01,2.808651794378543443e+01,4.637980927536452214e+01
3.737286036393526700e+01,3.205001977223358978e+01,3.057711986383113256e+01,2.550767241290500920e+01,2.803896335366718517e+01,4.645336423342781274e+01
3.738849506091089125e+01,3.204475156424997806e+01,3.056675337483913779e+01,2.548406663754392909e+01,2.799546037452903136e+01,4.652047298792705021e+01
3.740274965849648936e+01,3.203994458548250179e+01,3.055730575602101240e+01,2.546257425334936642e+01,2.795557911915182459e+01,4.658184662749881255e+01
3.741577905950788363e+01,3.203554758349884679e+01,3.054867335699326603e+01,2.544295360394912109e+01,2.791894272171897740e+01,4.663810367433191573e+01
3.742771742097863807e+01,3.203151608864546773e+01,3.054076649037589419e+01,2.542499617569581716e+01,2.788522010942373086e+01,4.668978371488044843e+01
3.743868133806507359e+01,3.202781138758469837e+01,3.053350727435022449e+01,2.540852135668075107e+01,2.785411981215100852e+01,4.673735883116824397e+01
3.744877248371458478e+01,3.202439966941484073e+01,3.052682784687056383e+01,2.539337212574227109e+01,2.782538466334012384e+01,4.678124321091760152e+01
3.745807980547746752e+01,3.202125131284979176e+01,3.052066888167275138e+01,2.537941148995021479e+01,2.779878726261992838e+01,4.682180124742986038e+01
3.746668136063183852e+01,3.201834028906965557e+01,3.051497835029851657e+01,2.536651952742006699e+01,2.777412608785115467e+01,4.685935438472876768e+01
3.747464585482096311e+01,3.201564365974292770e+01,3.050971048543611630e+01,2.535459092200487774e+01,2.775122215995412489e+01,4.689418691804100092e+01
3.748203393675243689e+01,3.201314115361807211e+01,3.050482490962949811e+01,2.534353289951178922e+01,2.772991617797988440e+01,4.692655092250833349e+01
