# Fracture 1 Parallel,Fracture 2 Parallel,Fracture 3 Parallel,Fracture 1 Non-Parallel,Fracture 2 Non-Parallel,Fracture 3 Non-Parallel
3.341924001041422088e+01,3.330634073578572441e+01,3.327441925380005472e+01,3.306539469612211946e+01,3.330470338434656696e+01,3.362990191953132069e+01
3.365327975221057244e+01,3.323302341741106147e+01,3.311369683037835898e+01,3.234337462313426670e+01,3.320940895828169204e+01,3.444721641858403416e+01
3.397931646912359582e+01,3.313129671496813700e+01,3.288938681590826008e+01,3.135988494156523032e+01,3.302945835720794321e+01,3.561065670122683002e+01
3.433800739227160648e+01,3.301968035832089043e+01,3.264231224940751019e+01,3.031287813910514828e+01,3.275815399120152449e+01,3.692896786969331657e+01
3.468629753820372486e+01,3.291129942647535245e+01,3.240240303532092980e+01,2.933555688013533924e+01,3.240970238727792463e+01,3.825474073258674679e+01
3.500099639846071398e+01,3.281310778518506766e+01,3.218589581635421837e+01,2.848805146780524211e+01,3.201274043637091182e+01,3.949920809582384607e+01
3.527376735352805071e+01,3.272760591851488954e+01,3.199862672795705976e+01,2.778135903641133098e+01,3.159807867328189346e+01,4.062056229030678622e+01
3.550482538033919155e+01,3.265477173702384306e+01,3.184040288263695828e+01,2.720277895830602688e+01,3.119042458363810510e+01,4.160679645805586091e+01
3.569832179107413594e+01,3.259341638656375295e+01,3.170826182236211466e+01,2.673193509798992196e+01,3.080591254196981410e+01,4.246215236004026394e+01
3.585966996207064739e+01,3.254195998956981128e+01,3.159837004835955199e+01,2.634841026936108221e+01,3.045312206222125440e+01,4.319846766841766339e+01
3.599422836299120831e+01,3.249881742543236385e+01,3.150695421157641718e+01,2.603454153971896545e+01,3.013522165228374305e+01,4.383023680799729505e+01
3.610675987198118975e+01,3.246256241355231964e+01,3.143067771446649772e+01,2.577597919301691931e+01,2.985199539856557749e+01,4.437202540841749965e+01
3.620128242857521172e+01,3.243197812948527314e+01,3.136673944193949382e+01,2.556139063290519431e+01,2.960135489969931299e+01,4.483725446739549625e+01
3.628109503927884560e+01,3.240605520864949796e+01,3.131284975207164933e+01,2.538192837866095175e+01,2.938033524433028987e+01,4.523773637700874417e+01
3.634886944673926479e+01,3.238396867414080305e+01,3.126716187911993217e+01,2.523070347821021642e+01,2.918569685140747083e+01,4.558359967038232696e+01
3.640675624342190275e+01,3.236504903248233944e+01,3.122819472409575425e+01,2.510234043514283542e+01,2.901426140997327252e+01,4.588339815488390627e+01
3.645648392852189801e+01,3.234875429427572158e+01,3.119476177720239107e+01,2.499262464658689709e+01,2.886308135600329905e+01,4.614429399740980386e+01
3.649944359489293788e+01,3.233464547996721450e+01,3.116591092513985117e+01,2.489823125105141699e+01,2.872951081689889108e+01,4.637225793204968483e+01
3.653675824324573540e+01,3.232236621219780659e+01,3.114087554455646156e+01,2.481651926391683816e+01,2.861122129116223789e+01,4.657225944492093106e+01
3.656933822152201685e+01,3.231162615900564106e+01,3.111903561947234564e+01,2.474537593457911555e+01,2.850618836762848218e+01,4.674843569779239516e+01
3.659792503539454600e+01,3.230218779433250376e+01,3.109988717027293958e+01,2.468309899579357491e+01,2.841266488589691974e+01,4.690423611830949824e+01
