# Fracture 1 Parallel,Fracture 2 Parallel,Fracture 3 Parallel,Fracture 1 Non-Parallel,Fracture 2 Non-Parallel,Fracture 3 Non-Parallel
3.343712082402080910e+01,3.330120212736347440e+01,3.326167704861573071e+01,3.226737213580123154e+01,3.328502648754405868e+01,3.444760137665470978e+01
3.367260839744876932e+01,3.322846877852690284e+01,3.309892282402432073e+01,2.991718445852351138e+01,3.303176354748224952e+01,3.705105199399423554e+01
3.391884022037172741e+01,3.315246159870469000e+01,3.292869818092356837e+01,2.758155733152398881e+01,3.248994703135726070e+01,3.992849563711875049e+01
3.411859047063280315e+01,3.309064914043300121e+01,3.279076038893420275e+01,2.578236477056911724e+01,3.178188842569850792e+01,4.243574680373237129e+01
3.426610055248893616e+01,3.304481923956078759e+01,3.268908020795027625e+01,2.450205151078044352e+01,3.106923023422091745e+01,4.442871825499863547e+01
3.437225106788222462e+01,3.301170487017369481e+01,3.261604406194408057e+01,2.359997569826740715e+01,3.043918927219399606e+01,4.596083502953860744e+01
3.444887856537440030e+01,3.298771604483528108e+01,3.256340538979032573e+01,2.295523874600662140e+01,2.991527957029199669e+01,4.712948168370137125e+01
3.450501417333966714e+01,3.297009196431519484e+01,3.252489386234513802e+01,2.248454798453219539e+01,2.949095260078026115e+01,4.802449941468754702e+01
3.454690925199312090e+01,3.295690879946224783e+01,3.249618194854464548e+01,2.213328051459249579e+01,2.915018439172680687e+01,4.871653509368069734e+01
3.457877900309354402e+01,3.294686222369755058e+01,3.247435877320891251e+01,2.186564884386878305e+01,2.887633378079431523e+01,4.925801737533689106e+01
3.460346760715272296e+01,3.293906826026726264e+01,3.245746413258000729e+01,2.165785567901385988e+01,2.865508570715434189e+01,4.968705861383178757e+01
3.462291684442288187e+01,3.293292125678738813e+01,3.244416189878971579e+01,2.149376166935033794e+01,2.847498104399250707e+01,5.003125728665715855e+01
3.463847399820556916e+01,3.292799978425321683e+01,3.243352621754122111e+01,2.136219327896480635e+01,2.832711999473842113e+01,5.031068672629675831e+01
3.465109038739588243e+01,3.292400557859834720e+01,3.242490403400575616e+01,2.125525897517367113e+01,2.820466867448691417e+01,5.054007235033941470e+01
3.466144956986452996e+01,3.292072391745180937e+01,3.241782651268366067e+01,2.116727974133134182e+01,2.810238946114109027e+01,5.073033079752755725e+01
3.467005099768410759e+01,3.291799766329904031e+01,3.241195133901684500e+01,2.109409715736523694e+01,2.801625557053676729e+01,5.088964727209798156e+01
3.467726539186822521e+01,3.291571002658820788e+01,3.240702458154356691e+01,2.103261715161878342e+01,2.794315310147846176e+01,5.102422974690274771e+01
3.468337198219785478e+01,3.291377294324555436e+01,3.240285507455659086e+01,2.098050350047745383e+01,2.788065668983050216e+01,5.113883980969202980e+01
3.468858395827677299e+01,3.291211911398926304e+01,3.239929692773394976e+01,2.093596823756839953e+01,2.782686238336028950e+01,5.123716937907131097e+01
3.469306614055319216e+01,3.291069646689101091e+01,3.239623739255578982e+01,2.089762591397482794e+01,2.778026345409869080e+01,5.132211063192647771e+01
3.469694743683065496e+01,3.290946424783932400e+01,3.239358831533002103e+01,2.086439065807882898e+01,2.773965792837734767e+01,5.139595141354381980e+01
3.470032975006376574e+01,3.290839022102527167e+01,3.239128002891094837e+01,2.083540239561330409e+01,2.770407941466720914e+01,5.146051818971950809e+01
3.470329443522084034e+01,3.290744863734575887e+01,3.238925692743340079e+01,2.080997324439236706e+01,2.767274504328046802e+01,5.151728171232716846e+01
3.470590703941433475e+01,3.290661874146035615e+01,3.238747421912531621e+01,2.078754806955141277e+01,2.764501601404031916e+01,5.156743591640828583e+01
3.470822082340425396e+01,3.290588366168905310e+01,3.238589551490669294e+01,2.076767511308542780e+01,2.762036748029584743e+01,5.161195740661871412e+01
3.471027940708633963e+01,3.290522957541620741e+01,3.238449101749746717e+01,2.074998388183659159e+01,2.759836538904736258e+01,5.165165072911604938e+01
3.471211877773074406e+01,3.290464507510099423e+01,3.238323614716826171e+01,2.073416832748380756e+01,2.757864853872326449e+01,5.168718313379293505e+01
3.471376882944574760e+01,3.290412068198326523e+01,3.238211048857099428e+01,2.071997392794310500e+01,2.756091457816893708e+01,5.171911149388795081e+01
3.471525455415802952e+01,3.290364846966677703e+01,3.238109697617517924e+01,2.070718767514637548e+01,2.754490900390197794e+01,5.174790332095165013e+01
3.471659697095142860e+01,3.290322177025434058e+01,3.238018125879423081e+01,2.069563024925034256e+01,2.753041645447792973e+01,5.177395329627171350e+01
3.471781385712963441e+01,3.290283494307846013e+01,3.237935119979189835e+01,2.068514985289348473e+01,2.751725377705569997e+01,5.179759637005081174e+01
3.471892032769299163e+01,3.290248319131503507e+01,3.237859648099195908e+01,2.067561731682005899e+01,2.750526447050256706e+01,5.181911821267737395e+01
3.471992929796369509e+01,3.290216241552394649e+01,3.237790828651236552e+01,2.066692218719169816e+01,2.749431420477294097e+01,5.183876360803535732e+01
3.472085185542507446e+01,3.290186909589369435e+01,3.237727904868123119e+01,2.065896957678262424e+01,2.748428718715852881e+01,5.185674323605886826e+01
3.472169756050455902e+01,3.290160019696042326e+01,3.237670224253501061e+01,2.065167761492779519e+01,2.747508319900147100e+01,5.187323918607072670e+01
3.472247469135003684e+01,3.290135309004771358e+01,3.237617221860225669e+01,2.064497537004275429e+01,2.746661516634912914e+01,5.188840946360813433e+01
3.472319044417039891e+01,3.290112548977071327e+01,3.237568406605886651e+01,2.063880114756992512e+01,2.745880715824214491e+01,5.190239169418793352e+01
3.472385109809673054e+01,3.290091540177397889e+01,3.237523350012929058e+01,2.063310108803234755e+01,2.745159272936597716e+01,5.191530618260167529e+01
3.472446215154624127e+01,3.290072107949302449e+01,3.237481676896073424e+01,2.062782800640380998e+01,2.744491354145921491e+01,5.192725845213698221e+01
3.472502843556750207e+01,3.290054098820912287e+01,3.237443057622337506e+01,2.062294042660975535e+01,2.743871821150734647e+01,5.193834136188289818e+01
3.472555420849067787e+01,3.290037377502690674e+01,3.237407201648241539e+01,2.061840177465657931e+01,2.743296134532807784e+01,5.194863688001532864e+01
3.472604323531746928e+01,3.290021824368812986e+01,3.237373852099440086e+01,2.061417970137125266e+01,2.742760272341156025e+01,5.195821757521718354e+01
