# Fracture 1 Parallel,Fracture 2 Parallel,Fracture 3 Parallel,Fracture 1 Non-Parallel,Fracture 2 Non-Parallel,Fracture 3 Non-Parallel
3.342125930001297718e+01,3.330575990238452277e+01,3.327298079760247873e+01,3.301005402795505717e+01,3.330360238865706890e+01,3.368634358338787393e+01
3.365761274649076285e+01,3.323186054011929258e+01,3.311052671338994458e+01,3.215151634495170185e+01,3.320109066384254959e+01,3.464739299120574145e+01
3.397933609694978685e+01,3.313164472289496842e+01,3.288901918015524473e+01,3.101150224200164374e+01,3.300137328615917198e+01,3.598712447183917362e+01
3.432355551359977142e+01,3.302463704978153913e+01,3.265180743661867524e+01,2.983439694779945839e+01,3.269755026203750248e+01,3.746805279016302848e+01
3.464845175653316289e+01,3.292355252290099799e+01,3.242799572056584623e+01,2.876823855185462619e+01,3.231086283852653196e+01,3.892089860961884540e+01
3.493439756143935426e+01,3.283428774139413520e+01,3.223131469716651054e+01,2.786766503801062456e+01,3.187842477750866266e+01,4.025391018448070923e+01
3.517658323115461627e+01,3.275831024879949638e+01,3.206510652004588025e+01,2.713253368195490722e+01,3.143638797060129164e+01,4.143107834744380114e+01
3.537772413084913126e+01,3.269485585365315927e+01,3.192742001549770237e+01,2.654057546855077021e+01,3.101102196131681055e+01,4.244840257013242280e+01
3.554339472778148235e+01,3.264229775686541046e+01,3.181430751535309653e+01,2.606495606260870801e+01,3.061759329917718020e+01,4.331745063821411890e+01
3.567963866297291275e+01,3.259884703308168241e+01,3.172151430394539773e+01,2.568133809642221266e+01,3.026281850431140441e+01,4.405584339926637938e+01
3.579195508360174216e+01,3.256285620505564538e+01,3.164518871134261957e+01,2.536979701524087361e+01,2.994789486940216960e+01,4.468230811535696745e+01
3.588498253759723156e+01,3.253292026533488013e+01,3.158209719706787055e+01,2.511471170587049073e+01,2.967092093204650283e+01,4.521436736208300999e+01
3.596249175616022598e+01,3.250788565623048498e+01,3.152962258760929615e+01,2.490404699565207736e+01,2.942851304521611056e+01,4.566743995913181919e+01
3.602749323167503093e+01,3.248682319560779064e+01,3.148568357271718199e+01,2.472857475221992374e+01,2.921677436190194399e+01,4.605465088587813227e+01
3.608237190280117801e+01,3.246899099531689359e+01,3.144863710188193195e+01,2.458120672662935391e+01,2.903182603968089026e+01,4.638696723368976649e+01
3.612901364185217545e+01,3.245379837097562614e+01,3.141718798717219485e+01,2.445647007247817939e+01,2.887006918628136631e+01,4.667346074124046140e+01
3.616891215485326683e+01,3.244077465011402950e+01,3.139031319503271078e+01,2.435010984787375676e+01,2.872829173612993969e+01,4.692159841599629289e+01
3.620325497340324006e+01,3.242954366332140381e+01,3.136720136327535968e+01,2.425879230169956458e+01,2.860369125582323235e+01,4.713751644247719952e+01
3.623299092612663230e+01,3.241980346549362935e+01,3.134720560837973480e+01,2.417988439722041250e+01,2.849385549158152031e+01,4.732626011119806719e+01
3.625888243231860031e+01,3.241131044834644115e+01,3.132980711933495144e+01,2.411128980155612567e+01,2.839672425739234285e+01,4.749198594105152438e+01
3.628154582432298270e+01,3.240386697813258365e+01,3.131458719754444786e+01,2.405132636210435138e+01,2.831054541881716347e+01,4.763812821907848161e+01
3.630148241215596272e+01,3.239731179739710853e+01,3.130120579044692875e+01,2.399863402989961614e+01,2.823383148374792739e+01,4.776753448635246002e+01
3.631910245814785299e+01,3.239151256749693175e+01,3.128938497435521171e+01,2.395210518818718270e+01,2.816531981997660949e+01,4.788257499183621491e+01
3.633474374294058151e+01,3.238636005966014864e+01,3.127889619739926275e+01,2.391083154906716146e+01,2.810393762954944563e+01,4.798523082138339646e+01
3.634868600686564832e+01,3.238176361333062658e+01,3.126955037980372865e+01,2.387406337669677470e+01,2.804877183182037470e+01,4.807716479148284350e+01
3.636116223989562712e+01,3.237764756950354439e+01,3.126119019060083559e+01,2.384117794347738339e+01,2.799904353735799845e+01,4.815977851916462527e+01
3.637236755569097824e+01,3.237394845601014026e+01,3.125368398829887440e+01,2.381165495099421392e+01,2.795408660132789436e+01,4.823425844767788817e+01
3.638246620571818113e+01,3.237061275477712030e+01,3.124692103950469502e+01,2.378505724237032126e+01,2.791332969617624826e+01,4.830161306145343048e+01
