# Fracture 1 Parallel,Fracture 2 Parallel,Fracture 3 Parallel,Fracture 1 Non-Parallel,Fracture 2 Non-Parallel,Fracture 3 Non-Parallel
3.350100520120174252e+01,3.328069186555153891e+01,3.321830293324673278e+01,3.281177070317601618e+01,3.327437457094611517e+01,3.391385472587786865e+01
3.391955503961386853e+01,3.314991587529847550e+01,3.293052908508764176e+01,3.153802170827577100e+01,3.306689946630717003e+01,3.539507882541705897e+01
3.442466429147521723e+01,3.299272681620706749e+01,3.258260889231772239e+01,3.006595899409520456e+01,3.267975179832860277e+01,3.725428920757619977e+01
3.489754899759790163e+01,3.284542823060105121e+01,3.225702277180105426e+01,2.876284578943498360e+01,3.215243112142658077e+01,3.908472308913844273e+01
3.529153018308966239e+01,3.272202139501067819e+01,3.198644842189964876e+01,2.773623408826744807e+01,3.156863725035855950e+01,4.069512866137397822e+01
3.560309120037617703e+01,3.262365796902065540e+01,3.177325083060316757e+01,2.696214164722495710e+01,3.100025406518721027e+01,4.203760428758783263e+01
3.584474972375027590e+01,3.254673047960284293e+01,3.160851979664688827e+01,2.638354123421407493e+01,3.048702211709882803e+01,4.312943664868709703e+01
3.603169719385616787e+01,3.248676413056932688e+01,3.148153867557451235e+01,2.594806428602587545e+01,3.004271089189814958e+01,4.400922482207597852e+01
3.617714786877018440e+01,3.243979903478687277e+01,3.138305309644294638e+01,2.561596515088623960e+01,2.966648218760808575e+01,4.471755266150567110e+01
3.629140707427634993e+01,3.240269911454066687e+01,3.130589381118297609e+01,2.535885165815082587e+01,2.935113731988329633e+01,4.529001102196586714e+01
3.638217562937052918e+01,3.237308925093543621e+01,3.124473511969403461e+01,2.515676047289673178e+01,2.908765058391877290e+01,4.575558894318449177e+01
3.645512287656062256e+01,3.234920080555013300e+01,3.119567631788923734e+01,2.499562101978381889e+01,2.886726792249965712e+01,4.613711105771651688e+01
3.651441562275039132e+01,3.232972132640225027e+01,3.115586305084736551e+01,2.486541511498136359e+01,2.868230418965837103e+01,4.645228069536025828e+01
3.656313167702329991e+01,3.231367352482897104e+01,3.112319479814773970e+01,2.475891488623971171e+01,2.852632440082341603e+01,4.671476071293687937e+01
3.660356350503757028e+01,3.230032453575474705e+01,3.109611195920769688e+01,2.467083110587073591e+01,2.839406638053844034e+01,4.693510251359082019e+01
3.663743565710036165e+01,3.228911989342399380e+01,3.107344444947563389e+01,2.459723812899776618e+01,2.828127551816390195e+01,4.712148635283833187e+01
3.666605920794471274e+01,3.227963602832678447e+01,3.105430476372849569e+01,2.453518244597068687e+01,2.818452689263060762e+01,4.728029066139870196e+01
3.669044152573997764e+01,3.227154614759488993e+01,3.103801232666515020e+01,2.448241315287187447e+01,2.810106426306697713e+01,4.741652258406115550e+01
3.671136470213819791e+01,3.226459564274097858e+01,3.102403965512082351e+01,2.443719397498681900e+01,2.802866467235165970e+01,4.753414135266152840e+01
3.672944202526224444e+01,3.225858425164335586e+01,3.101197372309439970e+01,2.439817043014456743e+01,2.796552867445761947e+01,4.763630089539779533e+01
3.674515901015163877e+01,3.225335301721151637e+01,3.100148797263684486e+01,2.436427472974820319e+01,2.791019300457465135e+01,4.772553226567713125e+01
3.675890349603510288e+01,3.224877466982515273e+01,3.099232183413974795e+01,2.433465683598918261e+01,2.786146175402094372e+01,4.780388140998987012e+01
3.677098793949453892e+01,3.224474647061375521e+01,3.098426558989171298e+01,2.430863387783080398e+01,2.781835233756864056e+01,4.787301378460055190e+01
3.678166608696393780e+01,3.224118483761110099e+01,3.097714907542495766e+01,2.428565261197833536e+01,2.778005309353853036e+01,4.793429429448313783e+01
