# 5 kg/s Parallel,10 kg/s Parallel,15 kg/s Parallel,20 kg/s Parallel,25 kg/s Parallel,30 kg/s Parallel,35 kg/s Parallel,40 kg/s Parallel,45 kg/s Parallel,50 kg/s Parallel,5 kg/s Non-Parallel,10 kg/s Non-Parallel,15 kg/s Non-Parallel,20 kg/s Non-Parallel,25 kg/s Non-Parallel,30 kg/s Non-Parallel,35 kg/s Non-Parallel,40 kg/s Non-Parallel,45 kg/s Non-Parallel,50 kg/s Non-Parallel
4.773284872155002745e+01,1.023383286178733584e+02,1.629745048223467165e+02,2.292812605490962028e+02,3.010367700092826340e+02,3.780870191988465763e+02,4.603179387841862535e+02,5.476414961803704955e+02,6.399877673074045106e+02,7.373000053418991229e+02,4.283296758109869984e+01,9.634835729347864230e+01,1.586240093315117008e+02,2.287167616175534306e+02,3.060099981920794789e+02,3.900609803898216228e+02,4.805349516149117903e+02,5.771700638042257197e+02,6.797564164903424171e+02,7.881225588503423296e+02
4.763954494255577998e+01,1.019630739014920806e+02,1.621246618627976375e+02,2.277596658078621488e+02,2.986416235430983193e+02,3.746119793881031228e+02,4.555523213307595825e+02,5.413705237877147738e+02,6.319928397538772060e+02,7.273589724581656810e+02,4.270054531117610708e+01,9.587478786330966329e+01,1.576466996120160786e+02,2.270942138721212871e+02,3.036095181593834695e+02,3.867520058133894736e+02,4.761852969947097449e+02,5.716437944625644150e+02,6.729126748833464262e+02,7.798149638509102033e+02
4.756693077053353136e+01,1.016709983018270123e+02,1.614630599465261014e+02,2.265747501189054560e+02,2.967757207259180063e+02,3.719035410611986663e+02,4.518360310269214892e+02,5.364774568058661544e+02,6.257506503805396960e+02,7.195920929387538081e+02,4.259704386319420877e+01,9.550404807555733555e+01,1.568816486222367814e+02,2.258254859033041839e+02,3.017357944727979202e+02,3.841745609434261155e+02,4.728047957628158997e+02,5.673583867995597529e+02,6.676168737126375845e+02,7.733990098837733740e+02
4.750931245666155434e+01,1.014392203336598044e+02,1.609379551407699864e+02,2.256340655221109444e+02,2.952939333236234347e+02,3.697518199403883159e+02,4.488822847489915375e+02,5.325864313215179209e+02,6.207840563145417718e+02,7.134087487958447582e+02,4.251463516296259115e+01,9.520845863235317097e+01,1.562716587819351162e+02,2.248147679934983785e+02,3.002452233632303091e+02,3.821277364900512339e+02,4.701253251370544035e+02,5.639682069730436069e+02,6.634352174667740201e+02,7.683417823426625546e+02
4.746282816642389690e+01,1.012522173576645770e+02,1.605142322990926687e+02,2.248748430356905601e+02,2.940976652713282533e+02,3.680141294984491651e+02,4.464959736408785034e+02,5.294415355099167755e+02,6.167679304735555661e+02,7.084061681723331958e+02,4.244796617222903734e+01,9.496904833743023744e+01,1.557775640114022906e+02,2.239966222591584994e+02,2.990400380417861470e+02,3.804752009909686308e+02,4.679655018126995287e+02,5.612400667309968867e+02,6.600757060358611170e+02,7.642852320345131147e+02
4.742478366260264977e+01,1.010991581209749484e+02,1.601673817750337321e+02,2.242532527716228401e+02,2.931180335104213555e+02,3.665907228854294431e+02,4.445406130301645931e+02,5.268636231449072511e+02,6.134745041163947690e+02,7.043019725936173927e+02,4.239327731269408872e+01,9.477246529254642837e+01,1.553718147679173853e+02,2.233251121444472460e+02,2.980517918832088640e+02,3.791217832160104990e+02,4.661990566069054012e+02,5.590120440862921214e+02,6.573360278257705431e+02,7.609817493557679882e+02
4.739325295301423324e+01,1.009722987816378321e+02,1.598798758890474687e+02,2.237379391431558417e+02,2.923057370336764507e+02,3.654101708578729699e+02,4.429184066906942689e+02,5.247242457979740493e+02,6.107403538778510210e+02,7.008934116862869814e+02,4.234786618982831641e+01,9.460909403168359688e+01,1.550345773282041932e+02,2.227672194086485717e+02,2.972313979689766938e+02,3.779994018026316098e+02,4.647358880824051539e+02,5.571688676720397098e+02,6.550724610205478484e+02,7.582557538446382068e+02
4.736682966226492653e+01,1.008659840756737225e+02,1.596389115698302703e+02,2.233059913475011626e+02,2.916247383239962687e+02,3.644202360113933423e+02,4.415577960907146462e+02,5.229293610011702640e+02,6.084457553686365827e+02,6.980318520052185249e+02,4.230975040992714753e+01,9.447186909941493127e+01,1.547512801314205149e+02,2.222987170621587154e+02,2.965429076200424561e+02,3.770583065957752638e+02,4.635103025095306180e+02,5.556266726980917383e+02,6.531806480263568346e+02,7.559799781336821525e+02
4.734446745396176937e+01,1.007760061067710780e+02,1.594349607178869235e+02,2.229403544563152479e+02,2.910482014634606571e+02,3.635820025722041464e+02,4.404054460074453914e+02,5.214088382186901072e+02,6.065013751531870412e+02,6.956063223235094028e+02,4.227744936649705920e+01,9.435550559835151319e+01,1.545110243549057145e+02,2.219015032601602968e+02,2.959595042319913887e+02,3.762614563423454683e+02,4.624734857454796497e+02,5.543232649113352863e+02,6.515833388440613589e+02,7.540603694779844091e+02
4.732537483329885220e+01,1.006991815739490335e+02,1.592608141197812870e+02,2.226281212213159222e+02,2.905558106690197633e+02,3.628659989066596836e+02,4.394209473880652581e+02,5.201095182077533536e+02,6.048394630589514236e+02,6.935326160616791640e+02,4.224983937767972719e+01,9.425598734612211160e+01,1.543055274767755236e+02,2.215618332145195950e+02,2.954608539459862868e+02,3.755808111473212421e+02,4.615885518471522460e+02,5.532117313720423226e+02,6.502223625756494130e+02,7.524262142435957230e+02
4.730894413791155984e+01,1.006330663552554370e+02,1.591109358173607120e+02,2.223593781241093552e+02,2.901319580199814823e+02,3.622495755086670783e+02,4.385732332448659463e+02,5.189905139730685733e+02,6.034078852259191308e+02,6.917459036703236279e+02,4.222605531698516046e+01,9.417021864984521073e+01,1.541284049289101574e+02,2.212691191768460897e+02,2.950313119142908249e+02,3.749948287138841465e+02,4.608272074461751799e+02,5.522561454811277599e+02,6.490532403916301973e+02,7.510235214984471668e+02
4.729470258428395368e+01,1.005757587173695100e+02,1.589810178510710728e+02,2.221264092943539481e+02,2.897644926923463800e+02,3.617150944954223064e+02,4.378381024785916225e+02,5.180199624056214134e+02,6.021659967406895930e+02,6.901956193661196721e+02,4.220542244878939186e+01,9.409578258444508947e+01,1.539746716262308439e+02,2.210150990144601622e+02,2.946586821660213218e+02,3.744867373188212127e+02,4.601674561024358354e+02,5.514286171556935869e+02,6.480414922902738226e+02,7.498104937674293069e+02
4.728227787433276319e+01,1.005257610411126308e+02,1.588676673368703689e+02,2.219231368636474144e+02,2.894438413380349857e+02,3.612486557747024563e+02,4.371964768205906466e+02,5.171727364169125849e+02,6.010817330020149711e+02,6.888418555611824559e+02,4.218740832488140313e+01,9.403077013859262934e+01,1.538403897101096618e+02,2.207932494212496692e+02,2.943333439909065987e+02,3.740433217323962367e+02,4.595919878341583740e+02,5.507072274357026345e+02,6.471600556434765394e+02,7.487543659406811685e+02
4.727137361531924853e+01,1.004818809907141457e+02,1.587681827660993008e+02,2.217447207840809540e+02,2.891623788882548638e+02,3.608391854977556932e+02,4.366331529381396876e+02,5.164288061796122520e+02,6.001295251950898546e+02,6.876527774093478911e+02,4.217158827314194980e+01,9.397365745906921575e+01,1.537224154861795284e+02,2.205983648234344514e+02,2.940476260309393410e+02,3.736540550065362822e+02,4.590870296330074325e+02,5.500745569666014489e+02,6.463874490358082312e+02,7.478291600750698080e+02
4.726175147880714889e+01,1.004431597731822166e+02,1.586803915968015417e+02,2.215872682235749664e+02,2.889139715020701260e+02,3.604777736635693941e+02,4.361358952429005171e+02,5.157720472326616346e+02,5.992887834258423254e+02,6.866027404325593579e+02,4.215762026328683731e+01,9.392321633081888876e+01,1.536182148855970979e+02,2.204262505897456492e+02,2.937953509245651844e+02,3.733104679009398978e+02,4.586415120614714738e+02,5.495166209203175640e+02,6.457064453359133722e+02,7.470140651332517336e+02
4.725321806694853422e+01,1.004088193223233816e+02,1.586025306701734792e+02,2.214476195446290774e+02,2.886936398692494095e+02,3.601571859869718537e+02,4.356947671069712555e+02,5.151893614372900174e+02,5.985427774864476760e+02,6.856709009086139304e+02,4.214522634908919940e+01,9.387844800086712382e+01,1.535257270470848994e+02,2.202734964180398833e+02,2.935714993776998654e+02,3.730056843940471367e+02,4.582464563388120382e+02,5.490220869304785083e+02,6.451030987995769692e+02,7.462922506055091389e+02
4.724561511834230743e+01,1.003782229099781489e+02,1.585331570168887083e+02,2.213231886420622345e+02,2.884973079675599479e+02,3.598714995447720639e+02,4.353016314899260806e+02,5.146700203468798236e+02,5.978778004484580606e+02,6.848401769343322485e+02,4.213417879296637381e+01,9.383853364512891915e+01,1.534432622031497715e+02,2.201373068205890036e+02,2.933719591577008714e+02,3.727340750901360593e+02,4.578945176655494151e+02,5.485816932356059397e+02,6.445660222387966769e+02,7.456499861922153514e+02
4.723881211711327666e+01,1.003508454204193328e+02,1.584710805374352276e+02,2.212118424159091319e+02,2.883216133597030648e+02,3.596158275908462088e+02,4.349497736565868991e+02,5.142051689352584845e+02,5.972825362676471741e+02,6.840964625660028560e+02,4.212428957069450064e+01,9.380279686459151378e+01,1.533694243602331824e+02,2.200153728427884516e+02,2.931933353313900739e+02,3.724909955158478851e+02,4.575796408616423037e+02,5.481878105169198534e+02,6.440858434094010363e+02,7.450759805525054844e+02
4.723270065417207775e+01,1.003262506706770836e+02,1.584153126340498829e+02,2.211118087892832023e+02,2.881637623886536517e+02,3.593861094480880638e+02,4.346336130309131249e+02,5.137874464470081648e+02,5.967475764593822305e+02,6.834280269682628841e+02,4.211540234755261736e+01,9.377067498686822944e+01,1.533030521278317337e+02,2.199057739419309883e+02,2.930328052461690049e+02,3.722725863455547142e+02,4.572967978163844691e+02,5.478341082517346194e+02,6.436547915724299855e+02,7.445608789717882701e+02
4.722719008150569664e+01,1.003040739307590172e+02,1.583650266164571860e+02,2.210216057990224670e+02,2.880214185263477589e+02,3.591789484676483539e+02,4.343484809100007737e+02,5.134106938183070952e+02,5.962650470042614188e+02,6.828250504271694581e+02,4.210738628288763152e+01,9.374169688900994402e+01,1.532431729891920895e+02,2.198069021887953056e+02,2.928880065918870628e+02,3.720756193539572223e+02,4.570417852626116542e+02,5.475152980252154293e+02,6.432663797814988129e+02,7.440968777541401096e+02
4.722220413142404283e+01,1.002840083246212259e+02,1.583195268954565051e+02,2.209399864174339143e+02,2.878926154771304482e+02,3.589914858883481656e+02,4.340904473825621608e+02,5.130697257976397623e+02,5.958283176674316337e+02,6.822792627315790241e+02,4.210013120222998140e+01,9.371546570258641395e+01,1.531889676359009229e+02,2.197174031731752848e+02,2.927569501928941236e+02,3.718973775123324117e+02,4.568110675358038293e+02,5.472269341571756058e+02,6.429151583742287812e+02,7.436774253393439267e+02
4.721767826342242103e+01,1.002657941575686351e+02,1.582782248040302875e+02,2.208658952397327653e+02,2.877756889570827070e+02,3.588213017871427724e+02,4.338561853887559892e+02,5.127601519201574547e+02,5.954317735690125346e+02,6.817836589078509633e+02,4.209354380275792806e+01,9.369164521108697841e+01,1.531397419139750866e+02,2.196361295366534421e+02,2.926379514784391063e+02,3.717355608448861517e+02,4.566016532322747707e+02,5.469652574672792298e+02,6.425965219931899810e+02,7.432969885466023925e+02
4.721355756505052170e+01,1.002492104719034387e+02,1.582406194652380123e+02,2.207984342083638012e+02,2.876692226993891950e+02,3.586663366704185023e+02,4.336428630857880080e+02,5.124782347250156818e+02,5.950706342265550575e+02,6.813322739644439707e+02,4.208754464696232134e+01,9.366994906603783022e+01,1.530949045811289011e+02,2.195621041416595176e+02,2.925295761960520053e+02,3.715882119087000888e+02,4.564109976625700256e+02,5.467270718290247942e+02,6.423065572489440456e+02,7.429508682143239184e+02
4.720979507840304024e+01,1.002340683145847180e+02,1.582062825380025970e+02,2.207368352819809445e+02,2.875720053940659682e+02,3.585248289334431888e+02,4.334480579795933295e+02,5.122207766191369274e+02,5.947408091231219487e+02,6.809200030546122662e+02,4.208206576290791645e+01,9.365013217399256007e+01,1.530539495399114287e+02,2.194944906597648071e+02,2.924305970830934029e+02,3.714536563577676134e+02,4.562369251127647658e+02,5.465096458753555453e+02,6.420419215265701496e+02,7.426350526542871648e+02
4.720635045640941030e+01,1.002202053314176169e+02,1.581748459678444760e+02,2.206804384864719566e+02,2.874829961029393530e+02,3.583952646216856692e+02,4.332696879346337937e+02,5.119850289600926203e+02,5.944387816139632150e+02,6.805424568880237075e+02,4.207704871520443390e+01,9.363198376924248123e+01,1.530164415467836534e+02,2.194325699196823507e+02,2.923399590399777139e+02,3.713304551998624561e+02,4.560775664458353731e+02,5.463106341635926810e+02,6.417997458637977388e+02,7.423461003063459884e+02
4.720318887666096686e+01,1.002074813972574674e+02,1.581459920846397438e+02,2.206286741700607195e+02,2.874012962959078550e+02,3.582763368046331607e+02,4.331059553747753057e+02,5.117686185084918407e+02,5.941615149924745083e+02,6.801958447131348748e+02,4.207244304409545066e+01,9.361532180569371064e+01,1.529820046415556476e+02,2.193757207616068001e+02,2.922567509510140553e+02,3.712173661892854852e+02,4.559313086780891240e+02,5.461280135171160737e+02,6.415775565858720029e+02,7.420810451263208734e+02
4.720028015788206233e+01,1.001957750613715064e+02,1.581194455471949993e+02,2.205810485668207548e+02,2.873261270985286728e+02,3.581669125164403340e+02,4.329553018700759139e+02,5.115694875591873370e+02,5.939063760113459693e+02,6.798768790234071275e+02,4.206820499454055096e+01,9.359998838860295223e+01,1.529503127213794187e+02,2.193234044430700749e+02,2.921801827416236392e+02,3.711133124108184234e+02,4.557967539739722156e+02,5.459600312932710722e+02,6.413732116671891390e+02,7.418373198078338646e+02
4.719759803696469191e+01,1.001849806386980362e+02,1.580949667512348924e+02,2.205371319820250733e+02,2.872568106699354189e+02,3.580660056947721159e+02,4.328163709578792009e+02,5.113858449198399398e+02,5.936710722489495993e+02,6.795826974989830660e+02,4.206429647535990313e+01,9.358584603162384496e+01,1.529210818170222694e+02,2.192751518631876024e+02,2.921095665888896065e+02,3.710173565638294235e+02,4.556726861007805951e+02,5.458051630899368547e+02,6.411848487385243516e+02,7.416126930957376544e+02
4.719511957405078562e+01,1.001750058162824075e+02,1.580723464046875790e+02,2.204965490689843364e+02,2.871927548759817910e+02,3.579727549057030274e+02,4.326879775353598347e+02,5.112161255478822568e+02,5.934536005295241239e+02,6.793107987121368296e+02,4.206068420205022562e+01,9.357277457317358937e+01,1.528940637291036921e+02,2.192305530380423590e+02,2.920443014480525790e+02,3.709286797944980663e+02,4.555580428313547259e+02,5.456620779721783947e+02,6.410108423655880188e+02,7.414052183097653597e+02
4.719282466040073842e+01,1.001657696731737275e+02,1.580514010398795790e+02,2.204589707846901661e+02,2.871334406077114068e+02,3.578864049112763723e+02,4.325690825290258772e+02,5.110589571416534227e+02,5.932522042231777277e+02,6.790589888919945452e+02,4.205733898716233199e+01,9.356066862269382511e+01,1.528690407575013239e+02,2.191892483852008695e+02,2.919838602427706178e+02,3.708465641795733632e+02,4.554518931191532261e+02,5.455296097283433028e+02,6.408497687557875224e+02,7.412131908435391097e+02
4.719069560922959994e+01,1.001572010341482724e+02,1.580319692821696833e+02,2.204241077010186132e+02,2.870784112359883125e+02,3.578062913405011045e+02,4.324587718266283218e+02,5.109131323495902848e+02,5.930653377210049939e+02,6.788253376273449931e+02,4.205423514991070988e+01,9.354943543531092587e+01,1.528458213145666491e+02,2.191509214706331363e+02,2.919277792077801337e+02,3.707703781591786196e+02,4.553534181251324640e+02,5.454067329893773604e+02,6.407003764523996097e+02,7.410351128931667972e+02
4.718871681391044604e+01,1.001492370944358754e+02,1.580139087327571019e+02,2.203917044165865775e+02,2.870272638007863293e+02,3.577318278807282468e+02,4.323562386711921590e+02,5.107775855433839070e+02,5.928916367401488969e+02,6.786081408332184992e+02,4.205135002268801969e+01,9.353899313471542598e+01,1.528242362568282147e+02,2.191152929442737047e+02,2.918756489804293324e+02,3.706995643645634573e+02,4.552618953710411915e+02,5.452925432930159104e+02,6.405615618823562727e+02,7.408696640427668854e+02
4.718687446115428230e+01,1.001418222656649419e+02,1.579970933527792738e+02,2.203615348670571166e+02,2.869796416165357869e+02,3.576624955267464543e+02,4.322607688819864507e+02,5.106513733183504655e+02,5.927298933907283072e+02,6.784058896516008872e+02,4.204866353669159196e+01,9.352926922059440074e+01,1.528041358038263411e+02,2.190821154467865028e+02,2.918271071206830243e+02,3.706336294012079406e+02,4.551766854438082532e+02,5.451862403650591204e+02,6.404323488598859058e+02,7.407156766206747989e+02
4.718515628928997074e+01,1.001349072032414966e+02,1.579814112586466308e+02,2.203333983725091798e+02,2.869352280393031833e+02,3.575978335183381205e+02,4.321717283954184268e+02,5.105336580529390176e+02,5.925790351517127874e+02,6.782172442242446095e+02,4.204615787253875681e+01,9.352019930971674455e+01,1.527853869391486228e+02,2.190511693138126645e+02,2.917818318037550966e+02,3.705721352363652841e+02,4.550972207922113171e+02,5.450871140377162192e+02,6.403118713309224859e+02,7.405721149617281753e+02
4.718355138372503177e+01,1.001284479833132934e+02,1.579667628563639425e+02,2.203071162924208579e+02,2.868937411917926852e+02,3.575374316699263773e+02,4.320885527188571018e+02,5.104236939910346678e+02,5.924381070708978996e+02,6.780410114846214356e+02,4.204381716445167427e+01,9.351172606982417790e+01,1.527678712093305933e+02,2.190222589381962734e+02,2.917395364799299387e+02,3.705146919094431723e+02,4.550229962477827712e+02,5.449945323399664403e+02,6.401993587853348799e+02,7.404380578834205835e+02
4.718205000317690434e+01,1.001224054035692319e+02,1.579530592565477889e+02,2.202825291838062753e+02,2.868549294815718440e+02,3.574809238532166660e+02,4.320107379689852678e+02,5.103208154142415651e+02,5.923062566362121970e+02,6.778761262804582657e+02,4.204162724883978086e+01,9.350379831330290870e+01,1.527514828525548580e+02,2.189952096774940742e+02,2.916999653357597708e+02,3.704609513380187877e+02,4.549535609731620980e+02,5.449079313852561199e+02,6.400941238756748817e+02,7.403126838187632757e+02
4.718064343151011997e+01,1.001167443870407538e+02,1.579402209228854304e+02,2.202594943778372567e+02,2.868185677790783075e+02,3.574279824389253690e+02,4.319378332283885129e+02,5.102244265530319467e+02,5.921827208698749700e+02,6.777216352681132321e+02,4.203957544983080652e+01,9.349637022385768148e+01,1.527361272018553677e+02,2.189698652153594196e+02,2.916628894220797861e+02,3.704106020352718360e+02,4.548885115974017026e+02,5.448268067530235612e+02,6.399955518689559995e+02,7.401952581551158801e+02
4.717932385094957937e+01,1.001114334719244425e+02,1.579281765155816117e+02,2.202378839059875588e+02,2.867844541467111981e+02,3.573783135396585067e+02,4.318694340033237609e+02,5.101339929507313400e+02,5.920668152799707968e+02,6.775766831233886478e+02,4.203765039565926287e+01,9.348940069435764144e+01,1.527217193178042862e+02,2.189460853022729054e+02,2.916281033392727977e+02,3.703633645887186958e+02,4.548274863423720262e+02,5.447507061170023235e+02,6.399030916275986556e+02,7.400851224125118506e+02
4.717808423321488931e+01,1.001064443735123461e+02,1.579168618982582188e+02,2.202175827192471900e+02,2.867524070300375456e+02,3.573316529246417872e+02,4.318051766050965625e+02,5.100490340460358993e+02,5.919579243701076621e+02,6.774405006957639443e+02,4.203584186097143061e+01,9.348285275795340965e+01,1.527081828137312129e+02,2.189237438145402734e+02,2.915954223899234421e+02,3.703189877774109959e+02,4.547701599800075201e+02,5.446792229183022300e+02,6.398162478712654320e+02,7.399816849621151960e+02
4.717691824574490056e+01,1.001017516068397697e+02,1.579062192824564761e+02,2.201984871540090865e+02,2.867222628379691400e+02,3.572877625000194826e+02,4.317447333089509129e+02,5.099691167815614108e+02,5.918554934611094041e+02,6.773123947993086631e+02,4.203414063090696118e+01,9.347669309774910573e+01,1.526954488431411505e+02,2.189027270813730297e+02,2.915646801251120905e+02,3.702772452266118535e+02,4.547162394887513415e+02,5.446119909173830820e+02,6.397345745157804231e+02,7.398844130391903491e+02
4.717582017066707323e+01,1.000973321605896160e+02,1.578961964883619942e+02,2.201805036063483101e+02,2.866938738515602267e+02,3.572464272669805609e+02,4.316878081699438781e+02,5.098938500793216804e+02,5.917590216214708789e+02,6.771917393869010766e+02,4.203253838363142592e+01,9.347089162289728392e+01,1.526834552242278846e+02,2.188829324385562813e+02,2.915357262233262645e+02,3.702379325165621253e+02,4.546654603005382569e+02,5.445486794880602019e+02,6.396576689210384075e+02,7.397928258481747434e+02
4.717478483455091265e+01,1.000931652144735864e+02,1.578867463040671453e+02,2.201635473829551302e+02,2.866671064114037790e+02,3.572074526850011011e+02,4.316341333958409905e+02,5.098228800513961119e+02,5.916680555381062732e+02,6.770779678976641662e+02,4.203102758848163489e+01,9.346542110101243850e+01,1.526721456806772039e+02,2.188642669743025806e+02,2.915084246514774691e+02,3.702008646762485569e+02,4.546175830483113032e+02,5.444889895402346838e+02,6.395851669088319795e+02,7.397064885924424971e+02
4.717380754738004356e+01,1.000892318935766525e+02,1.578778259286203820e+02,2.201475417023297325e+02,2.866418393419796189e+02,3.571706623796979443e+02,4.315834661939020407e+02,5.097558858360344516e+02,5.915821841871515971e+02,6.769705666027716688e+02,4.202960141741179712e+01,9.346025683851830479e+01,1.526614691814611149e+02,2.188466464386687846e+02,2.914826520659399307e+02,3.701658740046851790e+02,4.545723907391866305e+02,5.444326499771202634e+02,6.395167384349930444e+02,7.396250072895493304e+02
4.717288404932917700e+01,1.000855150542412559e+02,1.578693964865860551e+02,2.201324168241800976e+02,2.866179625782356197e+02,3.571358961447695606e+02,4.315355860220653312e+02,5.096925759676028633e+02,5.915010341876840130e+02,6.768690688035137555e+02,4.202825366779310912e+01,9.345537640192603135e+01,1.526513793651226933e+02,2.188299942926044537e+02,2.914582964184758680e+02,3.701328081716896463e+02,4.545296862908010667e+02,5.443794146083600936e+02,6.394520838194146108e+02,7.395480242560646502e+02
4.717201046427587841e+01,1.000819990969536661e+02,1.578614226038149866e+02,2.201181092885804844e+02,2.865953759652539929e+02,3.571030081956860158e+02,4.314902921863759957e+02,5.096326852035541606e+02,5.914242657401506449e+02,6.767730497591485346e+02,4.202697869491570515e+01,9.345075937415371925e+01,1.526418340364342896e+02,2.188142408765770028e+02,2.914352557375866013e+02,3.701015285579191527e+02,4.544892903784358964e+02,5.443290594531702027e+02,6.393909304532187434e+02,7.394752141648604038e+02
4.717118325905757814e+01,1.000786698024018193e+02,1.578538720357397835e+02,2.201045612493250587e+02,2.865739882065222446e+02,3.570718656395113726e+02,4.314474017356803870e+02,5.095759717438647840e+02,5.913515690669368041e+02,6.766821222415088641e+02,4.202577135285400800e+01,9.344638714095069076e+01,1.526327947252224249e+02,2.187993226818907146e+02,2.914134370605131039e+02,3.700719088003324373e+02,4.544510395489360803e+02,5.442813803781917841e+02,6.393330299152828502e+02,7.394062805933743903e+02
