# Fracture 1 Parallel,Fracture 2 Parallel,Fracture 3 Parallel,Fracture 1 Non-Parallel,Fracture 2 Non-Parallel,Fracture 3 Non-Parallel
3.349349633546874827e+01,3.328281124537847546e+01,3.322369241915277627e+01,3.300425901706677934e+01,3.327941418045320177e+01,3.371632680248002600e+01
3.391193973906526082e+01,3.315148712174219270e+01,3.293657313919254648e+01,3.215985986872998126e+01,3.310498807573128488e+01,3.473515205553871255e+01
3.445532890432369300e+01,3.298191718964289976e+01,3.256275390603340725e+01,3.110268181294031820e+01,3.279575299563960300e+01,3.610156519142007880e+01
3.500655191770991337e+01,3.281021230840117653e+01,3.218323577388891721e+01,3.008376804677843097e+01,3.237001714976631206e+01,3.754621480345524986e+01
3.550110094480817935e+01,3.265564706927217742e+01,3.184325198591963968e+01,2.922066510717557364e+01,3.187652653348760978e+01,3.890280835933682368e+01
3.591756102122399597e+01,3.252455855140241425e+01,3.155788042737357912e+01,2.853323012680630910e+01,3.136818152649760805e+01,4.009858834669608285e+01
3.625757081131504833e+01,3.241657719384430436e+01,3.132585199484063665e+01,2.799893770359307510e+01,3.088353789105826763e+01,4.111752440534866082e+01
3.653163979200228795e+01,3.232873457340505041e+01,3.113962563459265454e+01,2.758561787838340607e+01,3.044348552188796475e+01,4.197089659972863274e+01
3.675198967084321566e+01,3.225749811361927755e+01,3.099051221553751390e+01,2.726421264693112789e+01,3.005556646434264323e+01,4.268022088872622533e+01
3.692969659187532017e+01,3.219960337037041143e+01,3.087070003775427907e+01,2.701183106391439281e+01,2.971937952761907908e+01,4.326878940846653165e+01
3.707389035432996138e+01,3.215231079337625886e+01,3.077379885229378687e+01,2.681135267237112885e+01,2.943061709380349456e+01,4.375803023382538726e+01
3.719178378050196443e+01,3.211342083835923233e+01,3.069479538113879968e+01,2.665019982289495459e+01,2.918351516175356863e+01,4.416628501535147677e+01
3.728896917023489266e+01,3.208120378751171842e+01,3.062982704225338892e+01,2.651915270358676224e+01,2.897215462953151999e+01,4.450869266688172132e+01
3.736975364388076315e+01,3.205431096526643131e+01,3.057593539085281620e+01,2.641141667770634527e+01,2.879106682424874109e+01,4.479751649804491365e+01
3.743745443843056364e+01,3.203169261021025704e+01,3.053085295135917221e+01,2.632193932246260459e+01,2.863545908425325592e+01,4.504260159328413238e+01
3.749463589983497513e+01,3.201252980933179515e+01,3.049283429083323327e+01,2.624692389833768758e+01,2.850124975248698433e+01,4.525182634917533164e+01
3.754329187719155669e+01,3.199618083929613022e+01,3.046052728351230598e+01,2.618348553952522906e+01,2.838501705062648739e+01,4.543149740984826934e+01
3.758498339514525810e+01,3.198213988495352567e+01,3.043287671990121979e+01,2.612940796181578307e+01,2.828391604744721022e+01,4.558667599073700671e+01
3.762094175118206607e+01,3.197000563897331560e+01,3.040905260984462899e+01,2.608297023111584778e+01,2.819559013790067326e+01,4.572143963098347541e+01
3.765214560535730470e+01,3.195945751463078466e+01,3.038839688001192130e+01,2.604282234969408449e+01,2.811808877481576374e+01,4.583908887549014111e+01
3.767937875168125572e+01,3.195023762187654981e+01,3.037038362644218736e+01,2.600789502638485118e+01,2.804979577054646001e+01,4.594230920306868882e+01
3.770327360447353726e+01,3.194213707159012117e+01,3.035458932393634157e+01,2.597733356792443615e+01,2.798936892322210923e+01,4.603329750885345106e+01
3.772434411983594771e+01,3.193498552248874489e+01,3.034067035767530740e+01,2.595044894563234905e+01,2.793569015502112052e+01,4.611386089934653398e+01
3.774301088036248331e+01,3.192864315984473933e+01,3.032834595979278092e+01,2.592668121061904074e+01,2.788782477930048032e+01,4.618549401008048960e+01
3.775962033956683683e+01,3.192299450359031709e+01,3.031738515684283541e+01,2.590557187509039849e+01,2.784498841694725257e+01,4.624943970796234538e+01
3.777445968909650276e+01,3.191794359872418951e+01,3.030759671217931484e+01,2.588674286773410671e+01,2.780652019280104170e+01,4.630673693946484093e+01
3.778776842467310360e+01,3.191341025567061962e+01,3.029882131965628389e+01,2.586988035551824439e+01,2.777186102788498090e+01,4.635825861659677827e+01
3.779974740582152748e+01,3.190932709271614343e+01,3.029092550146232199e+01,2.585472220118752418e+01,2.774053603975247384e+01,4.640474175906000198e+01
3.781056600021116765e+01,3.190563719483003879e+01,3.028379680495878290e+01,2.584104816116779091e+01,2.771214024432303091e+01,4.644681159450917818e+01
3.782036775433508780e+01,3.190229224904969030e+01,3.027733999661522191e+01,2.582867216664467946e+01,2.768632690852583167e+01,4.648500092482949242e+01
3.782927492287972626e+01,3.189925105057243471e+01,3.027147402654783903e+01,2.581743620108931481e+01,2.766279803254536063e+01,4.651976576636531746e+01
3.783739210845664047e+01,3.189647829894536457e+01,3.026612959259799496e+01,2.580720541070495955e+01,2.764129654569940797e+01,4.655149804359565024e+01
3.784480920349660948e+01,3.189394362261736049e+01,3.026124717388603003e+01,2.579786417408100974e+01,2.762159988442379799e+01,4.658053594149518517e+01
3.785160378141223703e+01,3.189162078429073688e+01,3.025677543429702965e+01,2.578931292334940650e+01,2.760351468810360842e+01,4.660717238854698508e+01
3.785784305055528165e+01,3.188948703021981146e+01,3.025266991922491044e+01,2.578146555805961881e+01,2.758687240184595169e+01,4.663166204009442595e+01
3.786358545911674867e+01,3.188752255473808006e+01,3.024889198614516417e+01,2.577424732951399022e+01,2.757152561754557851e+01,4.665422705294043482e+01
3.786888201981694380e+01,3.188571005750955933e+01,3.024540792267350042e+01,2.576759310079452803e+01,2.755734501804227676e+01,4.667506188116319521e+01
3.787377740846422824e+01,3.188403437577427724e+01,3.024218821576149452e+01,2.576144590853778737e+01,2.754421681567911762e+01,4.669433727578309856e+01
3.787831087910089423e+01,3.188248217754385649e+01,3.023920694335523862e+01,2.575575576840737213e+01,2.753204059760630429e+01,4.671220363398633424e+01
3.788251702965615664e+01,3.188104170456737663e+01,3.023644126577646318e+01,2.575047867841823646e+01,2.752072750691310077e+01,4.672879381466866988e+01
3.788642644518446190e+01,3.187970255612284021e+01,3.023387099869269790e+01,2.574557578370059119e+01,2.751019870201572104e+01,4.674422551428369133e+01
3.789006624040847981e+01,3.187845550644375336e+01,3.023147825314777393e+01,2.574101267362656742e+01,2.750038404740503495e+01,4.675860327896839408e+01
3.789346051907696022e+01,3.187729234997224737e+01,3.022924713095080307e+01,2.573675878795902960e+01,2.749122099742297110e+01,4.677202021461800996e+01
