# Fracture 1 Parallel,Fracture 2 Parallel,Fracture 3 Parallel,Fracture 1 Non-Parallel,Fracture 2 Non-Parallel,Fracture 3 Non-Parallel
3.349814368104542694e+01,3.328150056516177102e+01,3.322035575379280914e+01,3.289156673879063675e+01,3.327650157113248497e+01,3.383193169007686407e+01
3.391731718499166703e+01,3.315031950654140047e+01,3.293236330846693249e+01,3.179047991730693923e+01,3.308350159008448088e+01,3.512601849260859410e+01
3.443839001486234963e+01,3.298801053589725285e+01,3.257359944924041173e+01,3.047601057526387436e+01,3.272982873168342621e+01,3.679416069305269588e+01
3.494195919791145144e+01,3.283116445668266437e+01,3.222687634540587709e+01,2.927267591559961701e+01,3.224424032575149823e+01,3.848308375864888120e+01
3.537370618056483806e+01,3.269603451020768858e+01,3.193025930922746980e+01,2.829794139375574247e+01,3.169536707546674137e+01,4.000669153077750195e+01
3.572336748937126316e+01,3.258574419119177890e+01,3.169088831943695439e+01,2.754775453105645155e+01,3.114832806121740205e+01,4.130391740772613218e+01
3.599980411775226230e+01,3.249779514696001570e+01,3.150240073528772911e+01,2.697888695144331450e+01,3.064360404622457068e+01,4.237750900233211127e+01
3.621690375649139781e+01,3.242815088395723677e+01,3.135494535955137252e+01,2.654638929626407418e+01,3.019854692701300891e+01,4.325506377672292047e+01
3.638783308367493419e+01,3.237291186865082437e+01,3.123925504767424854e+01,2.621417078829195191e+01,2.981590908146066710e+01,4.396992013024737389e+01
3.652337738118253441e+01,3.232882924220174203e+01,3.114779337661573422e+01,2.595559306215992734e+01,2.949117435244924579e+01,4.455323258539083753e+01
3.663186778422080181e+01,3.229335521343547555e+01,3.107477700234371909e+01,2.575152930094570181e+01,2.921706661382349068e+01,4.503140408523081106e+01
3.671958761622872203e+01,3.226454289188664859e+01,3.101586949188463294e+01,2.558830472952630686e+01,2.898587844645935263e+01,4.542581682401433341e+01
3.679124059707949357e+01,3.224091841935782554e+01,3.096784098356268800e+01,2.545608317065303794e+01,2.879050439324570831e+01,4.575341243610126440e+01
3.685035148512374548e+01,3.222136681477692122e+01,3.092828170009935107e+01,2.534771402962350351e+01,2.862479949998428808e+01,4.602748647039221197e+01
3.689957603709258649e+01,3.220504120405258419e+01,3.089538275885482932e+01,2.525793399855923838e+01,2.848362020996111355e+01,4.625844579147965874e+01
3.694093087756888139e+01,3.219129411916104999e+01,3.086777500327006507e+01,2.518281858367079451e+01,2.836273340065317683e+01,4.645444801567602866e+01
3.697596100015991283e+01,3.217962662704236720e+01,3.084441237279772352e+01,2.511940407363271888e+01,2.825868352640357628e+01,4.662191239996369063e+01
3.700586116798631764e+01,3.216965097519025818e+01,3.082448785682340642e+01,2.506542480363775383e+01,2.816865818042640512e+01,4.676591701593583394e+01
3.703156400391977598e+01,3.216106319192000740e+01,3.080737280416020951e+01,2.501912858259165873e+01,2.809036798625309928e+01,4.689050343115523134e+01
3.705380421716933625e+01,3.215362292689288637e+01,3.079257285593778803e+01,2.497914550386601107e+01,2.802194534142158489e+01,4.699890915471240760e+01
3.707316575067067532e+01,3.214713853786233244e+01,3.077969571146698513e+01,2.494439358002660967e+01,2.796186160019590261e+01,4.709374481977749127e+01
3.709011666504441251e+01,3.214145598331626275e+01,3.076842735163933185e+01,2.491401006174252686e+01,2.790886042970895886e+01,4.717712950854851783e+01
3.710503516682328495e+01,3.213645048744169230e+01,3.075851434573502274e+01,2.488730087752511366e+01,2.786190462778023758e+01,4.725079449469464521e+01
3.711822919644704655e+01,3.213202023626320170e+01,3.074975056728974465e+01,2.486370300505499031e+01,2.782013383664524042e+01,4.731616315829976571e+01
3.712995129602136757e+01,3.212808157206208648e+01,3.074196713191654240e+01,2.484275617442455442e+01,2.778283094200718750e+01,4.737441288356824742e+01
3.714040998921474568e+01,3.212456530108961061e+01,3.073502470969564015e+01,2.482408137852885233e+01,2.774939533972250061e+01,4.742652328174863641e+01
3.714977856261006650e+01,3.212141383477221979e+01,3.072880760261771371e+01,2.480736440039263258e+01,2.771932161305704767e+01,4.747331398655031620e+01
3.715820189519937600e+01,3.211857895967901300e+01,3.072321914512160390e+01,2.479234307457763720e+01,2.769218246899466962e+01,4.751547445642769674e+01
3.716580180998448668e+01,3.211602008539099984e+01,3.071817810462452059e+01,2.477879735397357663e+01,2.766761503047380089e+01,4.755358761555263669e+01
3.717268129781333386e+01,3.211370285828832039e+01,3.071361584389833865e+01,2.476654150306353941e+01,2.764530977877089768e+01,4.758814871816555581e+01
3.717892787413117617e+01,3.211159805753215579e+01,3.070947406833665738e+01,2.475541791670446656e+01,2.762500159498745234e+01,4.761958048830808110e+01
3.718461626422039501e+01,3.210968071018533010e+01,3.070570302559426779e+01,2.474529219146338477e+01,2.760646247007634457e+01,4.764824533846027066e+01
3.718981056475952585e+01,3.210792937765091182e+01,3.070226005758956944e+01,2.473604916947963872e+01,2.758949554631670509e+01,4.767445528420365974e+01
3.719456599424903942e+01,3.210632557690797029e+01,3.069910842884299029e+01,2.472758974289174105e+01,2.757393022559760354e+01,4.769848003151065541e+01
3.719893031859349719e+01,3.210485330846825747e+01,3.069621637293823824e+01,2.471982825715054943e+01,2.755961813607342847e+01,4.772055360677601499e+01
3.720294501844335855e+01,3.210349866932821072e+01,3.069355631222842717e+01,2.471269038898763881e+01,2.754642979241220146e+01,4.774087981860015617e+01
3.720664625003607995e+01,3.210224953400162207e+01,3.069110421596229443e+01,2.470611140291407537e+01,2.753425181887637052e+01,4.775963677820956832e+01
3.721006563998231798e+01,3.210109529038120257e+01,3.068883906963646879e+01,2.470003471137298590e+01,2.752298463104818538e+01,4.777698065757881807e+01
3.721323094580353796e+01,3.210002661999201479e+01,3.068674243420443304e+01,2.469441067985315641e+01,2.751254049285166303e+01,4.779304882729518056e+01
