# Well Angle,Fracture 1,Fracture 2,Fracture 3,Pressure Drop
1.003354252449484146e-01,3.631977089766703415e+01,3.221519337746052258e+01,3.146503572487243616e+01,4.338334806283487524e+02
2.006706966436306028e-01,3.577060370323802374e+01,3.220721653507341387e+01,3.202217976168855529e+01,4.358182449674180816e+02
3.010056603245632179e-01,3.522927319652543332e+01,3.218534591406081802e+01,3.258538088941374866e+01,4.377005105196492423e+02
4.013401625788883820e-01,3.469546168656282958e+01,3.214958257840057598e+01,3.315495573503660864e+01,4.394816663525062381e+02
5.006912612564722309e-01,3.417398605451084848e+01,3.210046545180081523e+01,3.372554849368833629e+01,4.411470208768026851e+02
6.005615116529761099e-01,3.365661662268943388e+01,3.203731672369566041e+01,3.430606665361491991e+01,4.427236399187442544e+02
7.004308497143204582e-01,3.314581628340419428e+01,3.196031096017871675e+01,3.489387275641709607e+01,4.442036616279056602e+02
8.002991237428552784e-01,3.264130919898162375e+01,3.186938573125961938e+01,3.548930506975874977e+01,4.455881146090173957e+02
9.001661820506275946e-01,3.214282755295355543e+01,3.176446269372015863e+01,3.609270975332628240e+01,4.468779493970677095e+02
1.000031872960765789e+00,3.165011107056249173e+01,3.164544748602033764e+01,3.670444144341716708e+01,4.480740410530842723e+02
1.100961253905949455e+00,3.115773853098511736e+01,3.151073159082393715e+01,3.733152987819094903e+01,4.491884603092090060e+02
1.200823736403118236e+00,3.067585433020303398e+01,3.136303051458363811e+01,3.796111515521331370e+01,4.501984213758287297e+02
1.300418102405262344e+00,3.020025792407146525e+01,3.120130662566191049e+01,3.859843545026662071e+01,4.511145146404591060e+02
1.400809364927726230e+00,2.972566680437704179e+01,3.102355263225089033e+01,3.925078056337207499e+01,4.519464056316759866e+02
1.500665914816155189e+00,2.925816477042221919e+01,3.083188908473430345e+01,3.990994614484347380e+01,4.526832312420511357e+02
1.600520185534808570e+00,2.879499781459997010e+01,3.062521688364566330e+01,4.057978530175436305e+01,4.533301167566511367e+02
1.700105757316529465e+00,2.833716587323518254e+01,3.040393494992473222e+01,4.125889917684008878e+01,4.538861047578652119e+02
1.800221283243522041e+00,2.788079795904726055e+01,3.016597515510853356e+01,4.195322688584420945e+01,4.543556501120976918e+02
1.899950655587020032e+00,2.742986801400336816e+01,2.991322964162061382e+01,4.265690234437601447e+01,4.547345533949206811e+02
1.999930083045492024e+00,2.698128464635997048e+01,2.964384584297213365e+01,4.337486951066789231e+01,4.550256496834441009e+02
2.099906465473766470e+00,2.653599259652068554e+01,2.935815351255089922e+01,4.410585389092840813e+01,4.552280565905699632e+02
2.199879650817317511e+00,2.609379169486494732e+01,2.905584055960356338e+01,4.485036774553148575e+01,4.553419152458569670e+02
2.299849487050810826e+00,2.565448490487517930e+01,2.873657334687861464e+01,4.560894174824621672e+01,4.553673187876404427e+02
2.399815822179489189e+00,2.521787808645016682e+01,2.839999591841442950e+01,4.638212599513541079e+01,4.553043145725304726e+02
2.499778504240557808e+00,2.478377977145285627e+01,2.804572916729270915e+01,4.717049106125442393e+01,4.551529064851899875e+02
2.599737381304565442e+00,2.435200095131450482e+01,2.767336994068321943e+01,4.797462910800226865e+01,4.549130573718963433e+02
2.699692301476790846e+00,2.392235487661733728e+01,2.728249007929975889e+01,4.879515504408289672e+01,4.545846916234681885e+02
2.799643112898621666e+00,2.349465686868652270e+01,2.687263538817672526e+01,4.963270774313674849e+01,4.541676979354008381e+02
2.899589663748938673e+00,2.306872414333150090e+01,2.644332453546408956e+01,5.048795132120440599e+01,4.536619322756065458e+02
2.999531802245492429e+00,2.264437564699600003e+01,2.599404787572008857e+01,5.136157647728391140e+01,4.530672210930347887e+02
3.099469376646286189e+00,2.222143190570012194e+01,2.552426619396367968e+01,5.225430190033619482e+01,4.523833648036535351e+02
3.199402235250955240e+00,2.179971488729240292e+01,2.503340936652842430e+01,5.316687574617918699e+01,4.516101415938945820e+02
3.299330226402140021e+00,2.137904787767441306e+01,2.452087493453868916e+01,5.410007718778690133e+01,4.507473115855861465e+02
3.399253198486867245e+00,2.095925537181584986e+01,2.398602658561266665e+01,5.505471804257147994e+01,4.497946214109178982e+02
3.499170999937923909e+00,2.054016298054748191e+01,2.342819253918113276e+01,5.603164448027138889e+01,4.487518092508695986e+02
