d1,,
1066.4471,30.2,
1070.2022,30.3,
1073.9573,30.4,
1077.7124,30.5,
1081.4675,30.6,
1085.2226,30.7,
1088.9777,30.8,
1092.7328,30.9,
1096.4879,31,
1100.2430,31.1,
1103.9981,31.2,
1107.7532,31.3,
1111.5083,31.4,
1115.2634,31.5,
1119.0185,31.6,
1122.7736,31.7,
1126.5287,31.8,
1130.2838,31.9,
1134.0389,32,
1137.7940,32.1,
1141.5491,32.2,
1145.3042,32.3,
1149.0593,32.4,
1152.8144,32.5,
1156.5695,32.6,
1160.3246,32.7,
1164.0797,32.8,
1167.8348,32.9,
1171.5899,33,
1175.3450,33.1,
1179.1001,33.2,
1182.8552,33.3,
1186.6103,33.4,
1190.3654,33.5,
1194.1205,33.6,
1197.8756,33.7,
1201.6307,33.8,
1205.3858,33.9,
1209.1409,34,
1212.8960,34.1,
1216.6511,34.2,
1220.4062,34.3,
1224.1613,34.4,
1227.9164,34.5,
1231.6715,34.6,
1235.4266,34.7,
1239.1817,34.8,
1242.9368,34.9,
1246.6919,35,
1250.4470,35.1,
1254.2021,35.2,
1257.9572,35.3,
1261.7123,35.4,
1265.4674,35.5,
1269.2225,35.6,
1272.9776,35.7,
1276.7327,35.8,
1280.4878,35.9,
1284.2429,36,
1287.9980,36.1,
1291.7531,36.2,
1295.5082,36.3,
1299.2633,36.4,
1303.0184,36.5,
1306.7735,36.6,
1310.5286,36.7,
1314.2837,36.8,
1318.0388,36.9,
1321.7939,37,
1325.5490,37.1,
1329.3041,37.2,
1333.0592,37.3,
1336.8143,37.4,
1340.5694,37.5,
1344.3245,37.6,
1348.0796,37.7,
1351.8347,37.8,
1355.5898,37.9,
1359.3449,38,
1363.1000,38.1,
1366.8551,38.2,
1370.6102,38.3,
1374.3653,38.4,
1378.1204,38.5,
1381.8755,38.6,
1385.6306,38.7,
1389.3857,38.8,
1393.1408,38.9,
1396.8959,39,
1400.6510,39.1,
1404.4061,39.2,
1408.1612,39.3,
1411.9163,39.4,
1415.6714,39.5,
1419.4265,39.6,
1423.1816,39.7,
1426.9367,39.8,
1430.6918,39.9,
1434.4469,40,
1438.2020,40.1,
1441.9571,40.2,
1445.7122,40.3,
1449.4673,40.4,
1453.2224,40.5,
1456.9775,40.6,
1460.7326,40.7,
1464.4877,40.8,
1468.2428,40.9,
1471.9979,41,
1475.7530,41.1,
1479.5081,41.2,
1483.2632,41.3,
1487.0183,41.4,
1490.7734,41.5,
1494.5285,41.6,
1498.2836,41.7,
1502.0387,41.8,
1505.7938,41.9,
1509.5489,42,
1513.3040,42.1,
1517.0591,42.2,
1520.8142,42.3,
1524.5693,42.4,
1528.3244,42.5,
1532.0795,42.6,
1535.8346,42.7,
1539.5897,42.8,
1543.3448,42.9,
1547.0999,43,
1550.8550,43.1,
1554.6101,43.2,
1558.3652,43.3,
1562.1203,43.4,
1565.8754,43.5,
1569.6305,43.6,
1573.3856,43.7,
1577.1407,43.8,
1580.8958,43.9,
1584.6509,44,
1588.4060,44.1,
1592.1611,44.2,
1595.9162,44.3,
1599.6713,44.4,
1603.4264,44.5,
1607.1815,44.6,
1610.9366,44.7,
1614.6917,44.8,
1618.4468,44.9,
1622.2019,45,
1625.9570,45.1,
1629.7121,45.2,
1633.4672,45.3,
1637.2223,45.4,
1640.9774,45.5,
1644.7325,45.6,
1648.4876,45.7,
1652.2427,45.8,
1655.9978,45.9,
1659.7529,46,
1663.5080,46.1,
1667.2631,46.2,
1671.0182,46.3,
1674.7733,46.4,
1678.5284,46.5,
1682.2835,46.6,
1686.0386,46.7,
1689.7937,46.8,
1693.5488,46.9,
1697.3039,47,
1701.0590,47.1,
1704.8141,47.2,
1708.5692,47.3,
1712.3243,47.4,
1716.0794,47.5,
1719.8345,47.6,
1723.5896,47.7,
1727.3447,47.8,
1731.0998,47.9,
1734.8549,48,
1738.6100,48.1,
1742.3651,48.2,
1746.1202,48.3,
1749.8753,48.4,
1753.6304,48.5,
1757.3855,48.6,
1761.1406,48.7,
1764.8957,48.8,
1768.6508,48.9,
1772.4059,49,
1776.1610,49.1,
1779.9161,49.2,
1783.6712,49.3,
1787.4263,49.4,
1791.1814,49.5,
1794.9365,49.6,
1798.6916,49.7,
1802.4467,49.8,
1806.2018,49.9,
1809.9569,50,
1813.7120,50.1,
1817.4671,50.2,
1821.2222,50.3,
1824.9773,50.4,
1828.7324,50.5,
1832.4875,50.6,
1836.2426,50.7,
1839.9977,50.8,
1843.7528,50.9,
1847.5079,51,
1851.2630,51.1,
1855.0181,51.2,
1858.7732,51.3,
1862.5283,51.4,
1866.2834,51.5,
1870.0385,51.6,
1873.7936,51.7,
1877.5487,51.8,
1881.3038,51.9,
1885.0589,52,
1888.8140,52.1,
1892.5691,52.2,
1896.3242,52.3,
1900.0793,52.4,
1903.8344,52.5,
1907.5895,52.6,
1911.3446,52.7,
1915.0997,52.8,
1918.8548,52.9,
1922.6099,53,
1926.3650,53.1,
1930.1201,53.2,
1933.8752,53.3,
1937.6303,53.4,
1941.3854,53.5,
1945.1405,53.6,
1948.8956,53.7,
1952.6507,53.8,
1956.4058,53.9,
1960.1609,54,
1963.9160,54.1,
1967.6711,54.2,
1971.4262,54.3,
