# Well Angle,Fracture 1,Fracture 2,Fracture 3,Pressure Drop
1.003354252449484146e-01,3.413481235038203465e+01,3.289604238031844829e+01,3.296914526929951705e+01,1.003247374345019409e+02
2.006706966436306028e-01,3.354495323969014464e+01,3.287885259650404635e+01,3.357619416380581612e+01,1.005116215244075164e+02
3.010056603245632179e-01,3.296252130967590688e+01,3.284658824596144910e+01,3.419089044436265112e+01,1.006625540637947012e+02
4.013401625788883820e-01,3.238713997481544737e+01,3.279921809547525413e+01,3.481364192970929139e+01,1.007776416242160451e+02
5.006912612564722309e-01,3.182398140618673565e+01,3.273737711809005901e+01,3.543864147572320888e+01,1.008563441002322207e+02
6.005615116529761099e-01,3.126412918825638343e+01,3.266016433419359544e+01,3.607570647755000692e+01,1.009001184254824324e+02
7.004308497143204582e-01,3.071020160015550005e+01,3.256777414709348761e+01,3.672202425275101945e+01,1.009084385165764957e+02
8.002991237428552784e-01,3.016186004845494750e+01,3.246009634586712878e+01,3.737804360567793793e+01,1.008812401187681047e+02
9.001661820506275946e-01,2.961877235173880862e+01,3.233700027857780412e+01,3.804422736968338370e+01,1.008184165381734516e+02
1.000031872960765789e+00,2.908061207094427303e+01,3.219833448204751392e+01,3.872105344700821661e+01,1.007198183507754266e+02
1.100961253905949455e+00,2.854139029096559455e+01,3.204219368391652267e+01,3.941641602511788278e+01,1.005836229394159460e+02
1.200823736403118236e+00,2.801216930241349701e+01,3.187167740834882679e+01,4.011615328923767265e+01,1.004124665486316275e+02
1.300418102405262344e+00,2.748831674137785441e+01,3.168552445328856138e+01,4.082615880533358421e+01,1.002054254137929945e+02
1.400809364927726230e+00,2.696394953811915940e+01,3.148137263422028553e+01,4.155467782766056217e+01,9.995966433883690172e+01
1.500665914816155189e+00,2.644572849072853060e+01,3.126159912404851227e+01,4.229267238522295713e+01,9.967792170369311577e+01
1.600520185534808570e+00,2.593055705680080791e+01,3.102487638512497270e+01,4.304456655807422294e+01,9.935857263051369159e+01
1.700105757316529465e+00,2.541949443644744733e+01,3.077159102495842902e+01,4.380891453859413076e+01,9.900215337797595794e+01
1.800221283243522041e+00,2.490814825513427522e+01,3.049930096676033031e+01,4.459255077810539092e+01,9.860513365754395920e+01
1.899950655587020032e+00,2.440089954609038969e+01,3.021009025045403007e+01,4.538901020345559090e+01,9.817049098080767067e+01
1.999930083045492024e+00,2.389420330341349086e+01,2.990175095153844609e+01,4.620404574504805595e+01,9.769490554346771205e+01
2.099906465473766470e+00,2.338904291323494178e+01,2.957456491874498283e+01,4.703639216802007184e+01,9.717875051684556809e+01
2.199879650817317511e+00,2.288511091024120958e+01,2.922807166697977621e+01,4.788681742277901066e+01,9.662128952337504018e+01
2.299849487050810826e+00,2.238209745011827323e+01,2.886177736006472827e+01,4.875612518981699850e+01,9.602172687701873599e+01
2.399815822179489189e+00,2.187968963938452305e+01,2.847515308046751770e+01,4.964515728014795570e+01,9.537920515652145070e+01
2.499778504240557808e+00,2.137757084550457876e+01,2.806763294690371424e+01,5.055479620759169990e+01,9.469280256577322064e+01
2.599737381304565442e+00,2.087541998418107170e+01,2.763861206773535173e+01,5.148596794808357657e+01,9.396153006814681419e+01
2.699692301476790846e+00,2.037291078056269100e+01,2.718744431682499396e+01,5.243964490261231504e+01,9.318432828041295579e+01
2.799643112898621666e+00,1.986971100092247511e+01,2.671343991710896049e+01,5.341684908196855019e+01,9.236006411058754395e+01
2.899589663748938673e+00,1.936548165115963371e+01,2.621586281561226173e+01,5.441865553322811877e+01,9.148752712260053954e+01
2.999531802245492429e+00,1.885987613824690001e+01,2.569392783192256502e+01,5.544619602983051720e+01,9.056542560932237507e+01
3.099469376646286189e+00,1.835253939049504268e+01,2.514679756025613955e+01,5.650066304924881422e+01,8.959238235374911596e+01
3.199402235250955240e+00,1.784310693222428412e+01,2.457357900315602706e+01,5.758331406461968527e+01,8.856693005663068163e+01
3.299330226402140021e+00,1.733120390812731415e+01,2.397331991254529271e+01,5.869547617932740025e+01,8.748750640693087632e+01
3.399253198486867245e+00,1.681644405226892758e+01,2.334500481128312188e+01,5.983855113644794699e+01,8.635244876971151484e+01
3.499170999937923909e+00,1.629842859630161556e+01,2.268755066551185706e+01,6.101402073818652383e+01,8.515998846398814237e+01
3.599083479235231753e+00,1.577674511107590405e+01,2.199980217490369228e+01,6.222345271402039657e+01,8.390824460109186589e+01
3.698990484907222154e+00,1.525096627539140925e+01,2.128052664437626618e+01,6.346850708023231391e+01,8.259521745183805308e+01
3.798891865532205259e+00,1.472064856516873910e+01,2.052840839691289432e+01,6.475094303791836126e+01,8.121878130864706691e+01
3.898787469739746658e+00,1.418533085582222597e+01,1.974204268273552998e+01,6.607262646144224050e+01,7.977667680637563308e+01
3.998677146212032518e+00,1.364453293007930590e+01,1.891992903519893687e+01,6.743553803472175900e+01,7.826650266338404549e+01
4.098560743685243146e+00,1.309775388292795029e+01,1.806046401833218340e+01,6.884178209873986987e+01,7.668570680200433287e+01
4.198438110950915458e+00,1.254447041477954272e+01,1.716193330489659985e+01,7.029359628032386809e+01,7.503157680536027385e+01
4.298309096857314771e+00,1.198413500331436055e+01,1.622250301707492781e+01,7.179336197961070809e+01,7.330122966542022311e+01
4.398173550310795044e+00,1.141617394384273254e+01,1.524021025439066612e+01,7.334361580176660311e+01,7.149160077523863777e+01
4.498031320277168454e+00,1.083998524736793989e+01,1.421295272508317709e+01,7.494706202754888125e+01,6.959943211693034470e+01
4.597882255783063421e+00,1.025493638489960802e+01,1.313847738785396047e+01,7.660658622724642441e+01,6.762125959587405077e+01
4.697726205917286180e+00,9.660361865950664040e+00,1.201436800054653453e+01,7.832527013350279788e+01,6.555339947139302126e+01
4.797563019832182363e+00,9.055560638583957100e+00,1.083803146083054791e+01,8.010640790058549499e+01,6.339193383492116851e+01
4.897392546744996800e+00,8.439793297889908175e+00,9.606682811222883700e+00,8.195352389088721168e+01,6.113269508864809865e+01
4.997214635939223548e+00,7.812279089415966382e+00,8.317328766684036978e+00,8.387039214389999131e+01,5.877124938144260113e+01
5.097029136765969248e+00,7.172192693887232018e+00,6.966749607477431994e+00,8.586105769863533510e+01,5.630287896490442279e+01
5.196835898645304042e+00,6.518660779630752522e+00,5.551479262870288700e+00,8.792985995749896233e+01,5.372256344130241246e+01
5.296634771067609826e+00,5.850758309532460011e+00,4.067783392506473916e+00,9.008145829796106341e+01,5.102495988799435622e+01
5.396425603594937392e+00,6.095223007787829772e+00,4.791294004269749607e+00,8.911348298794243306e+01,5.239704854077038476e+01
5.496208245862351127e+00,6.636089169945573296e+00,6.254438076340784747e+00,8.710947275371363219e+01,5.514987589044611127e+01
5.595982547579276378e+00,7.145041492387709248e+00,7.656241158031387606e+00,8.519871734958090315e+01,5.780925645223999965e+01
5.695748358530851263e+00,7.624244226071592578e+00,9.000753155399618066e+00,8.337500261852879646e+01,6.038024382616768548e+01
5.795505528579258936e+00,8.075686815149742515e+00,1.029168152249343571e+01,8.163263166235682888e+01,6.286755361819270860e+01
5.895253907665082949e+00,8.501199974325647446e+00,1.153242522746404575e+01,7.996637479821029615e+01,6.527558738020015028e+01
5.994993345808638630e+00,8.902470168548278551e+00,1.272610496425381221e+01,7.837142486719790213e+01,6.760845515873985789e+01
6.094723693111312457e+00,9.281052655420332087e+00,1.387559005378781940e+01,7.684335729079182897e+01,6.986999662385049703e+01
6.194444799756905873e+00,9.638383236529273645e+00,1.498352242492890696e+01,7.537809433854181407e+01,7.206380078740976103e+01
6.294156516012963110e+00,9.975788850246456008e+00,1.605233801794871695e+01,7.397187313180482704e+01,7.419322434683375889e+01
6.393858692232106122e+00,1.029449712563664576e+01,1.708428591137618824e+01,7.262121696298716245e+01,7.626140870760707458e+01
6.493551178853365968e+00,1.059564500511149632e+01,1.808144543625535761e+01,7.132290955863315673e+01,7.827129574928116540e+01
6.593233826403512410e+00,1.088028653241749666e+01,1.904574150953522604e+01,7.007397195804726664e+01,8.022564240604606312e+01
6.692906485498384406e+00,1.114939989246910379e+01,1.997895839001414231e+01,6.887164171751673791e+01,8.212703413586920931e+01
6.792569006844207280e+00,1.140389378040764612e+01,2.088275203549980219e+01,6.771335418409253748e+01,8.397789735273659062e+01
6.892221241238922325e+00,1.164461316902653820e+01,2.175866121819417032e+01,6.659672561277929503e+01,8.578051089524750239e+01
6.991863039573508409e+00,1.187234453630697928e+01,2.260811753638579802e+01,6.551953792730722625e+01,8.753701660238274940e+01
7.091494252833295597e+00,1.208782060817769555e+01,2.343245444398932875e+01,6.447972494783297748e+01,8.924942906407774501e+01
7.191114732099286755e+00,1.229172466569064248e+01,2.423291540500995822e+01,6.347535992929939397e+01,9.091964461055755464e+01
7.290724328549469391e+00,1.248469446052062715e+01,2.501066126736250439e+01,6.250464427211687024e+01,9.254944960045872904e+01
7.390322893460136378e+00,1.266732577798794246e+01,2.576677693940726499e+01,6.156589728260478722e+01,9.414052806379724814e+01
7.489910278207176475e+00,1.284017568261306508e+01,2.650227744287793996e+01,6.065754687450898075e+01,9.569446875183379575e+01
7.589486334267411038e+00,1.300376547748308198e+01,2.721811340738466356e+01,5.977812111513224380e+01,9.721277164205216081e+01
7.689050913219872108e+00,1.315858340539347360e+01,2.791517606423151676e+01,5.892624053037500431e+01,9.869685394275144574e+01
7.788603866747125792e+00,1.330508711678094791e+01,2.859430179075417300e+01,5.810061109246488087e+01,1.001480556381911526e+02
7.888145046636561020e+00,1.344370592683909393e+01,2.925627625064083404e+01,5.730001782252006848e+01,1.015676446120257879e+02
7.987674304781701373e+00,1.357484288187766097e+01,2.990183817065266680e+01,5.652331894746968288e+01,1.029568213835208894e+02
8.087191493183485846e+00,1.369887665290931444e+01,3.053168278971366689e+01,5.576944055737701689e+01,1.043167234883339773e+02
8.186696463951571801e+00,1.381616327260165100e+01,3.114646501242265941e+01,5.503737171497569136e+01,1.056484295328453129e+02
8.286189069305631705e+00,1.392703773008660484e+01,3.174680229558539679e+01,5.432615997432801436e+01,1.069529629486488886e+02
8.385669161576629449e+00,1.403181543665230890e+01,3.233327729330951428e+01,5.363490727003816971e+01,1.082312954715450388e+02
8.485136593208121525e+00,1.413079357403724856e+01,3.290644028350745742e+01,5.296276614245529402e+01,1.094843503672773579e+02
8.584591216757525345e+00,1.422425233587753546e+01,3.346681139626056734e+01,5.230893626786189543e+01,1.107130054243804693e+02
8.684032884897414206e+00,1.431245607181867463e+01,3.401488266238108338e+01,5.167266126580024377e+01,1.119180957327779851e+02
