# Well Angle,Fracture 1,Fracture 2,Fracture 3,Pressure Drop
1.003354252449484146e-01,3.737339900840736817e+01,3.188065901431506433e+01,3.074594197727758171e+01,6.811826806343710814e+02
2.006706966436306028e-01,3.684314870474006653e+01,3.187699383264327935e+01,3.127985746261665057e+01,6.849174477132950187e+02
3.010056603245632179e-01,3.632083933074091675e+01,3.186000451125715571e+01,3.181915615800192043e+01,6.885192842233162764e+02
4.013401625788883820e-01,3.580617717270030198e+01,3.182970489948333537e+01,3.236411792781638042e+01,6.919906698131140956e+02
5.006912612564722309e-01,3.530381328405563579e+01,3.178658595705201506e+01,3.290960075889235270e+01,6.953018464459156576e+02
6.005615116529761099e-01,3.480582978870768329e+01,3.173007217387637269e+01,3.346409803741593691e+01,6.985060203724459598e+02
7.004308497143204582e-01,3.431461400847229726e+01,3.166032565610597516e+01,3.402506033542172048e+01,7.015876934717589393e+02
8.002991237428552784e-01,3.382991437096767839e+01,3.157730306949090959e+01,3.459278255954140491e+01,7.045489378342498412e+02
9.001661820506275946e-01,3.335148761548561680e+01,3.148094696200917042e+01,3.516756542250520567e+01,7.073917446591698308e+02
1.000031872960765789e+00,3.287909836850098344e+01,3.137118574318875730e+01,3.574971588831027702e+01,7.101180289661792813e+02
1.100961253905949455e+00,3.240757240728234478e+01,3.124654587262450889e+01,3.634588172009316054e+01,7.127568796695369429e+02
1.200823736403118236e+00,3.194664008651010789e+01,3.110955723748534041e+01,3.694380267600455170e+01,7.152543873733853843e+02
1.300418102405262344e+00,3.149228823157232426e+01,3.095928206783238323e+01,3.754842970059529250e+01,7.176345071862715486e+02
1.400809364927726230e+00,3.103949140867249312e+01,3.079387323294214696e+01,3.816663535838535637e+01,7.199234726349616267e+02
1.500665914816155189e+00,3.059407346356676172e+01,3.061532464011998300e+01,3.879060189631326239e+01,7.220920951355262787e+02
1.600520185534808570e+00,3.015342316493078201e+01,3.042263686866103356e+01,3.942393996640819154e+01,7.241543610169678686e+02
1.700105757316529465e+00,2.971850747810435678e+01,3.021620695796916678e+01,4.006528556392647289e+01,7.261066968134275612e+02
1.800221283243522041e+00,2.928567092774567726e+01,2.999413163140057748e+01,4.072019744085373816e+01,7.279658158018050926e+02
1.899950655587020032e+00,2.885870389943248071e+01,2.975820484356458451e+01,4.138309125700292412e+01,7.297159094366111276e+02
1.999930083045492024e+00,2.843469857063391970e+01,2.950672782538738659e+01,4.205857360397869371e+01,7.313697507231166810e+02
2.099906465473766470e+00,2.801457235652893729e+01,2.924004096536392439e+01,4.274538667810715253e+01,7.329241547913587738e+02
2.199879650817317511e+00,2.759815897317738376e+01,2.895788791035315413e+01,4.344395311646945856e+01,7.343804836283250097e+02
2.299849487050810826e+00,2.718529645482476909e+01,2.865999473498763805e+01,4.415470881018758575e+01,7.357400838662033493e+02
2.399815822179489189e+00,2.677582699633359198e+01,2.834606943602896933e+01,4.487810356763744579e+01,7.370042922779373384e+02
2.499778504240557808e+00,2.636959681067838090e+01,2.801580138793693209e+01,4.561460180138469411e+01,7.381744415210492889e+02
2.599737381304565442e+00,2.596645600144827881e+01,2.766886075861272332e+01,4.636468323993900498e+01,7.392518661631596615e+02
2.699692301476790846e+00,2.556625845038870182e+01,2.730489788420161901e+01,4.712884366540968273e+01,7.402379090247603699e+02
2.799643112898621666e+00,2.516886172010536171e+01,2.692354260177014424e+01,4.790759567812449404e+01,7.411339278772366015e+02
2.899589663748938673e+00,2.477412697214706583e+01,2.652440353860956535e+01,4.870146948924335817e+01,7.419413025366967531e+02
2.999531802245492429e+00,2.438191890077844803e+01,2.610706735685780089e+01,4.951101374236374397e+01,7.426614423970414691e+02
3.099469376646286189e+00,2.399210568285087319e+01,2.567109795208406453e+01,5.033679636506506228e+01,7.432957944488382509e+02
3.199402235250955240e+00,2.360455894428337587e+01,2.521603560443527314e+01,5.117940545128134744e+01,7.438458518338411523e+02
3.299330226402140021e+00,2.321915374376802532e+01,2.474139608091354248e+01,5.203945017531842154e+01,7.443131629887797089e+02
3.399253198486867245e+00,2.283576857442627883e+01,2.424666968733189876e+01,5.291756173824183662e+01,7.446993414358383916e+02
3.499170999937923909e+00,2.245428538425613851e+01,2.373132026848817588e+01,5.381439434725569271e+01,7.450060762815705857e+02
3.599083479235231753e+00,2.207458961633060213e+01,2.319478415510488745e+01,5.473062622856450332e+01,7.452351434905267524e+02
3.698990484907222154e+00,2.169657026983371040e+01,2.263646905610739779e+01,5.566696067405888471e+01,7.453884180047028849e+02
3.798891865532205259e+00,2.132011998315291734e+01,2.205575289485936352e+01,5.662412712198771914e+01,7.454678867851683890e+02
