# Well Angle,Fracture 1,Fracture 2,Fracture 3,Pressure Drop
1.003354252449484146e-01,3.668590390978927473e+01,3.209936417044080770e+01,3.121473191976991046e+01,5.126036705891989413e+02
2.006706966436306028e-01,3.614336627852350148e+01,3.209289418031450225e+01,3.176373954116199982e+01,5.151231473300692869e+02
3.010056603245632179e-01,3.560870810986243384e+01,3.207272855069536632e+01,3.231856333944219273e+01,5.175293838111433615e+02
4.013401625788883820e-01,3.508162034439650512e+01,3.203887298928897565e+01,3.287950666631452634e+01,5.198241163521818180e+02
5.006912612564722309e-01,3.456686177534479754e+01,3.199184987202586683e+01,3.344128835262934274e+01,5.219881114874518744e+02
6.005615116529761099e-01,3.405631251343820054e+01,3.193101731404490096e+01,3.401267017251691271e+01,5.240563793927015013e+02
7.004308497143204582e-01,3.355240918063835664e+01,3.185654575984920456e+01,3.459104505951244590e+01,5.260187540292490667e+02
8.002991237428552784e-01,3.305488476682248944e+01,3.176837969604506284e+01,3.517673553713244416e+01,5.278765923999286542e+02
9.001661820506275946e-01,3.256348041329765408e+01,3.166644834632931094e+01,3.577007124037302077e+01,5.296311716788230797e+02
1.000031872960765789e+00,3.207794495443048532e+01,3.155066559847002949e+01,3.637138944709948163e+01,5.312836925224440847e+02
1.100961253905949455e+00,3.159294489765248670e+01,3.141947042600916618e+01,3.698758467633835068e+01,5.328512924001423698e+02
1.200823736403118236e+00,3.111847858161365110e+01,3.127551383299989141e+01,3.760600758538645039e+01,5.343019483120682480e+02
1.300418102405262344e+00,3.065041203036783912e+01,3.111779345177743039e+01,3.823179451785470917e+01,5.356502563076489878e+02
1.400809364927726230e+00,3.018355434052865505e+01,3.094435843103675055e+01,3.887208722843460151e+01,5.369107771569454144e+02
1.500665914816155189e+00,2.972389755357557206e+01,3.075728547882764374e+01,3.951881696759676998e+01,5.380672677661063972e+02
1.600520185534808570e+00,2.926873879123631994e+01,3.055551086459582422e+01,4.017575034416785229e+01,5.391274809229670382e+02
1.700105757316529465e+00,2.881906673626416548e+01,3.033943337636719662e+01,4.084149988736863435e+01,5.400897203251413430e+02
1.800221283243522041e+00,2.837108772587728822e+01,3.010704325201724529e+01,4.152186902210546293e+01,5.409620214425852964e+02
1.899950655587020032e+00,2.792871087094688320e+01,2.986019885014226816e+01,4.221109027891085219e+01,5.417368383299901780e+02
1.999930083045492024e+00,2.748891090881287980e+01,2.959710225500963787e+01,4.291398683617747878e+01,5.424199019877895580e+02
2.099906465473766470e+00,2.705262352675833881e+01,2.931808772746752467e+01,4.362928874577414007e+01,5.430096873935252688e+02
