# Well Angle,Fracture 1,Fracture 2,Fracture 3,Pressure Drop
1.003354252449484146e-01,3.553127365390527359e+01,3.246303753476723841e+01,3.200568881132749510e+01,2.878790876383098976e+02
2.006706966436306028e-01,3.496763245733494330e+01,3.245178283596979441e+01,3.258058470669526230e+01,2.889562573327240784e+02
3.010056603245632179e-01,3.441171123374342500e+01,3.242620737066403791e+01,3.316208139559253709e+01,2.899546175916084962e+02
4.013401625788883820e-01,3.386317254076110572e+01,3.238630145974074281e+01,3.375052599949814436e+01,2.908749334850735409e+02
5.006912612564722309e-01,3.332695991871877794e+01,3.233263921631092330e+01,3.434040086497029165e+01,2.917100077443113832e+02
6.005615116529761099e-01,3.279460199867610726e+01,3.226446406540166834e+01,3.494093393592223151e+01,2.924736040737520284e+02
7.004308497143204582e-01,3.226861815035124437e+01,3.218195867343558803e+01,3.554942317621316050e+01,2.931616820589937333e+02
8.002991237428552784e-01,3.174871196441296206e+01,3.208504466699289992e+01,3.616624336859413091e+01,2.937746981982525654e+02
9.001661820506275946e-01,3.123459464983049827e+01,3.197362625703310002e+01,3.679177909313639816e+01,2.943130383087220707e+02
1.000031872960765789e+00,3.072598449990832492e+01,3.184759005361218343e+01,3.742642544647947744e+01,2.947770187347010165e+02
1.100961253905949455e+00,3.021726424011750822e+01,3.170522309805459216e+01,3.807751266182790317e+01,2.951706472478724663e+02
1.200823736403118236e+00,2.971890061633718361e+01,3.154937972092418619e+01,3.873171966273862665e+01,2.954857967844314999e+02
1.300418102405262344e+00,2.922654419551198757e+01,3.137894424208707633e+01,3.939451156240094321e+01,2.957265842614907001e+02
1.400809364927726230e+00,2.873470657855684962e+01,3.119178490005393556e+01,4.007350852138920061e+01,2.958950413847035747e+02
1.500665914816155189e+00,2.824967420072538360e+01,3.099011593976344514e+01,4.076020985951117126e+01,2.959886202805762423e+02
1.600520185534808570e+00,2.776857707648962048e+01,3.077275932530338309e+01,4.145866359820701064e+01,2.960083279945135928e+02
1.700105757316529465e+00,2.729243834610737451e+01,3.054011222851458740e+01,4.216744942537803809e+01,2.959542600858687820e+02
1.800221283243522041e+00,2.681721109030292638e+01,3.028997673474680496e+01,4.289281217495027221e+01,2.958254741209291296e+02
1.899950655587020032e+00,2.634701244310451784e+01,3.002431632211602519e+01,4.362867123477946762e+01,2.956227062243352748e+02
1.999930083045492024e+00,2.587859944587367877e+01,2.974115611246871893e+01,4.438024444165760940e+01,2.953444678221589470e+02
2.099906465473766470e+00,2.541293425158807651e+01,2.944081293182347991e+01,4.514625281658844358e+01,2.949907728668365507e+02
2.199879650817317511e+00,2.494978453857460465e+01,2.912292663458694975e+01,4.592728882683844205e+01,2.945611513757370972e+02
2.299849487050810826e+00,2.448891970513857075e+01,2.878711189452093322e+01,4.672396840034050314e+01,2.940550689985689701e+02
2.399815822179489189e+00,2.403011053087628923e+01,2.843295716181904353e+01,4.753693230730466723e+01,2.934719268889360251e+02
2.499778504240557808e+00,2.357312884438165312e+01,2.806002353633277480e+01,4.836684761928557919e+01,2.928110615378160446e+02
2.599737381304565442e+00,2.311774719674921030e+01,2.766784355213530233e+01,4.921440925111548381e+01,2.920717445798216545e+02
2.699692301476790846e+00,2.266373854035976976e+01,2.725591986820042933e+01,5.008034159143981157e+01,2.912531825843278739e+02
2.799643112898621666e+00,2.221087591252317139e+01,2.682372385953709681e+01,5.096540022793972469e+01,2.903545168449981588e+02
2.899589663748938673e+00,2.175893212364467288e+01,2.637069410266300196e+01,5.187037377369233582e+01,2.893748231829208066e+02
2.999531802245492429e+00,2.130767944968298266e+01,2.589623474881208409e+01,5.279608580150492259e+01,2.883131117805011172e+02
3.099469376646286189e+00,2.085688932877856772e+01,2.539971377775899697e+01,5.374339689346243887e+01,2.871683270655633464e+02
3.199402235250955240e+00,2.040633206204980254e+01,2.488046112460209613e+01,5.471320681334809422e+01,2.859393476676501109e+02
3.299330226402140021e+00,1.995577651869058755e+01,2.433776667127531113e+01,5.570645681003409777e+01,2.846249864715874764e+02
3.399253198486867245e+00,1.950498984565296468e+01,2.377087809396152096e+01,5.672413206038552147e+01,2.832239907967520480e+02
3.499170999937923909e+00,1.905373718236475611e+01,2.317899855694954425e+01,5.776726426068569253e+01,2.817350427344866262e+02
3.599083479235231753e+00,1.860178138112698321e+01,2.256128424282097811e+01,5.883693437605202803e+01,2.801567596805762150e+02
3.698990484907222154e+00,1.814888273404540797e+01,2.191684170816876787e+01,5.993427555778583127e+01,2.784876951048814249e+02
3.798891865532205259e+00,1.769479870760277151e+01,2.124472505334026806e+01,6.106047623905696042e+01,2.767263396060689047e+02
3.898787469739746658e+00,1.723928368624954999e+01,2.054393289396687194e+01,6.221678341978357452e+01,2.748711223061457076e+02
3.998677146212032518e+00,1.678208872671490681e+01,1.981340512129477105e+01,6.340450615199032569e+01,2.729204126470297069e+02
4.098560743685243146e+00,1.632296132509671693e+01,1.905201943757291971e+01,6.462501923733037756e+01,2.708725226601298459e+02
4.198438110950915458e+00,1.586164519920549765e+01,1.825858765199420830e+01,6.587976714880029760e+01,2.687257097897235667e+02
4.298309096857314771e+00,1.539788008910598904e+01,1.743185172193177124e+01,6.717026818896223972e+01,2.664781803620136316e+02
4.398173550310795044e+00,1.493140157933617296e+01,1.657047952348140285e+01,6.849811889718242242e+01,2.641280938044745881e+02
4.498031320277168454e+00,1.446194094689646015e+01,1.567306033462763892e+01,6.986499871847590271e+01,2.616735677342689428e+02
4.597882255783063421e+00,1.398922503979428988e+01,1.473810001371663247e+01,7.127267494648907586e+01,2.591126840507166662e+02
4.697726205917286180e+00,1.351297619172087039e+01,1.376401585536773631e+01,7.272300795291138797e+01,2.564434961849191268e+02
4.797563019832182363e+00,1.303291217933201196e+01,1.274913110552104456e+01,7.421795671514693993e+01,2.536640376801342995e+02
4.897392546744996800e+00,1.254874622962084096e+01,1.169166911703697131e+01,7.575958465334218772e+01,2.507723322994665693e+02
4.997214635939223548e+00,1.206018708601615330e+01,1.058974712717804678e+01,7.735006578680581413e+01,2.477664058831446425e+02
5.097029136765969248e+00,1.156693914313491689e+01,9.441369638472405512e+00,7.899169121839267405e+01,2.446443002065172152e+02
5.196835898645304042e+00,1.106870266157138794e+01,8.244421384941098552e+00,8.068687595348751529e+01,2.414040891219020466e+02
5.296634771067609826e+00,1.056517407573599954e+01,6.996659866545595463e+00,8.243816605771840500e+01,2.380438973031445471e+02
5.396425603594937392e+00,1.068333320907431983e+01,7.616243942217805873e+00,8.170042284870787341e+01,2.401877120998137229e+02
5.496208245862351127e+00,1.100732751848886082e+01,8.867808584538710903e+00,8.012486389697242828e+01,2.442456081749835732e+02
5.595982547579276378e+00,1.131461052298029202e+01,1.007553808974604515e+01,7.860985138727365040e+01,2.482355177188599953e+02
5.695748358530851263e+00,1.160603816562714563e+01,1.124177640093571462e+01,7.715218543343713975e+01,2.521579474132107634e+02
5.795505528579258936e+00,1.188242100067621543e+01,1.236871322010671648e+01,7.574886577921706987e+01,2.560135785101792862e+02
5.895253907665082949e+00,1.214452619178651638e+01,1.345839518306525306e+01,7.439707862514822523e+01,2.598032351577121517e+02
5.994993345808638630e+00,1.239307953319778655e+01,1.451273623169158711e+01,7.309418423511063168e+01,2.635278572291892374e+02
6.094723693111312457e+00,1.262876746558021779e+01,1.553352722890179649e+01,7.183770530551798572e+01,2.671884770613608566e+02
6.194444799756905873e+00,1.285223906466877786e+01,1.652244486237026422e+01,7.062531607296097036e+01,2.707861995787609999e+02
6.294156516012963110e+00,1.306410798600603584e+01,1.748105988283589340e+01,6.945483213115807075e+01,2.743221853486830355e+02
6.393858692232106122e+00,1.326495435338891404e+01,1.841084472185361776e+01,6.832420092475747708e+01,2.777976361692341243e+02
6.493551178853365968e+00,1.345532658208556143e+01,1.931318053236724808e+01,6.723149288554719760e+01,2.812137828445496552e+02
6.593233826403512410e+00,1.363574313069208799e+01,2.018936369364253025e+01,6.617489317566538887e+01,2.845718748465224053e+02
6.692906485498384406e+00,1.380669417774642049e+01,2.104061182002242703e+01,6.515269400223114360e+01,2.878731716021053444e+02
6.792569006844207280e+00,1.396864322100362088e+01,2.186806931076326421e+01,6.416328746823312201e+01,2.911189351799567930e+02
6.892221241238922325e+00,1.412202859868343019e+01,2.267281247594033644e+01,6.320515892537623870e+01,2.943104241804688854e+02
6.991863039573508409e+00,1.426726493309567800e+01,2.345585427114188448e+01,6.227688079576243751e+01,2.974488886595538020e+02
7.091494252833295597e+00,1.440474449788931643e+01,2.421814867143893224e+01,6.137710683067175665e+01,3.005355659395131056e+02
7.191114732099286755e+00,1.453483851080048517e+01,2.496059471295107457e+01,6.050456677624843849e+01,3.035716771801850768e+02
7.290724328549469391e+00,1.465789835424030052e+01,2.568404022825451705e+01,5.965806141750518066e+01,3.065584246008318132e+02
7.390322893460136378e+00,1.477425672638824317e+01,2.638928529990181104e+01,5.883645797370995467e+01,3.094969892582045077e+02
7.489910278207176475e+00,1.488422872567811339e+01,2.707708545445964887e+01,5.803868581986223774e+01,3.123885292991668052e+02
7.589486334267411038e+00,1.498811287169276341e+01,2.774815461772092107e+01,5.726373251058631553e+01,3.152341786174749245e+02
7.689050913219872108e+00,1.508619206555126802e+01,2.840316785010803358e+01,5.651064008434070018e+01,3.180350458540272598e+02
7.788603866747125792e+00,1.517873449288072152e+01,2.904276387976639739e+01,5.577850162735288109e+01,3.207922136882619952e+02
7.888145046636561020e+00,1.526599447243556007e+01,2.966754744942805999e+01,5.506645807813638527e+01,3.235067383756944537e+02
7.987674304781701373e+00,1.534821325336732301e+01,3.027809149182192883e+01,5.437369525481074106e+01,3.261796494927690446e+02
8.087191493183485846e+00,1.542561976406149427e+01,3.087493914719649979e+01,5.369944108874200595e+01,3.288119498557250608e+02
8.186696463951571801e+00,1.549843131535900476e+01,3.145860563540896493e+01,5.304296304923204275e+01,3.314046155847514683e+02
8.286189069305631705e+00,1.556685426086733770e+01,3.202957999400930333e+01,5.240356574512335897e+01,3.339585962888600648e+02
8.385669161576629449e+00,1.563108461694580065e+01,3.258832669280815963e+01,5.178058869024603439e+01,3.364748153502886794e+02
8.485136593208121525e+00,1.569130864482633747e+01,3.313528713455069408e+01,5.117340422062296312e+01,3.389541702903691771e+02
8.584591216757525345e+00,1.574770339720680212e+01,3.367088105052689428e+01,5.058141555226630715e+01,3.413975332013111483e+02
8.684032884897414206e+00,1.580043723152622093e+01,3.419550779922330719e+01,5.000405496925046833e+01,3.438057512306699550e+02
