# Well Angle,Fracture 1,Fracture 2,Fracture 3,Pressure Drop
1.003354252449484146e-01,3.593590112424505634e+01,3.233613315921166986e+01,3.172796571654328091e+01,3.588827464989656164e+02
2.006706966436306028e-01,3.537972038161957045e+01,3.232656629574367457e+01,3.229371332263675498e+01,3.603855241025606801e+02
3.010056603245632179e-01,3.483132376203575120e+01,3.230289779280938944e+01,3.286577844515486646e+01,3.617972474700251837e+02
4.013401625788883820e-01,3.429038416230631725e+01,3.226512361187641886e+01,3.344449222581727099e+01,3.631189801691507455e+02
5.006912612564722309e-01,3.376177986927375230e+01,3.221379988507111136e+01,3.402442024565512924e+01,3.643400539400939806e+02
6.005615116529761099e-01,3.323716443703421675e+01,3.214821069717986290e+01,3.461462486578592035e+01,3.654804310085158932e+02
7.004308497143204582e-01,3.271902828007258535e+01,3.206853469135819523e+01,3.521243702856921232e+01,3.665342961104490200e+02
8.002991237428552784e-01,3.220708582080602866e+01,3.197470185653576280e+01,3.581821232265819788e+01,3.675023755340519074e+02
9.001661820506275946e-01,3.170105932880064614e+01,3.186662555479781034e+01,3.643231511640153997e+01,3.683853204263656380e+02
1.000031872960765789e+00,3.120067841641810347e+01,3.174420237923398247e+01,3.705511920434789630e+01,3.691837086812176381e+02
1.100961253905949455e+00,3.070042764747463337e+01,3.160577333869503036e+01,3.769379901383032916e+01,3.699052148898718428e+02
1.200823736403118236e+00,3.021060702931832154e+01,3.145412154517936543e+01,3.833527142550232725e+01,3.705350494225389753e+02
1.300418102405262344e+00,2.972694449242742465e+01,3.128817173385337114e+01,3.898488377371919711e+01,3.710802948407713302e+02
1.400809364927726230e+00,2.924405878749767140e+01,3.110585651969021725e+01,3.965008469281210779e+01,3.715464189655469909e+02
1.500665914816155189e+00,2.876813151929458101e+01,3.090934219921074799e+01,4.032252628149467455e+01,3.719271435169716256e+02
1.600520185534808570e+00,2.829635324487205850e+01,3.069749172388349123e+01,4.100615503124445382e+01,3.722253327587259264e+02
1.700105757316529465e+00,2.782973539505621119e+01,3.047070352080420363e+01,4.169956108413958873e+01,3.724406282703490092e+02
1.800221283243522041e+00,2.736432297795225921e+01,3.022684698627008970e+01,4.240883003577764754e+01,3.725744728481604966e+02
1.899950655587020032e+00,2.690415905546956310e+01,2.996784924866140543e+01,4.312799169586903503e+01,3.726254420051731699e+02
1.999930083045492024e+00,2.644608005690699670e+01,2.969179900031365804e+01,4.386212094277934170e+01,3.725939470400517735e+02
2.099906465473766470e+00,2.599103959163248589e+01,2.939902027051531519e+01,4.460994013785219892e+01,3.724796192928753271e+02
2.199879650817317511e+00,2.553882264880453690e+01,2.908917829667512933e+01,4.537199905452034443e+01,3.722822657154540593e+02
2.299849487050810826e+00,2.508921672889341536e+01,2.876191507856835727e+01,4.614886819253823802e+01,3.720016360780712148e+02
2.399815822179489189e+00,2.464201156305949780e+01,2.841684848312992528e+01,4.694113995381057691e+01,3.716374239995424773e+02
2.499778504240557808e+00,2.419699884245956412e+01,2.805357127864534661e+01,4.774942987889508572e+01,3.711892680113459733e+02
2.599737381304565442e+00,2.375397195714962351e+01,2.767165009475031567e+01,4.857437794810006437e+01,3.706567526736851050e+02
2.699692301476790846e+00,2.331272574435228151e+01,2.727062430435862694e+01,4.941664995128910221e+01,3.700394097630517649e+02
2.799643112898621666e+00,2.287305624595921927e+01,2.685000482333788696e+01,5.027693893070288311e+01,3.693367195528474554e+02
2.899589663748938673e+00,2.243476047524786665e+01,2.640927282343839622e+01,5.115596670131373713e+01,3.685481122108454883e+02
2.999531802245492429e+00,2.199763619290703787e+01,2.594787835365659490e+01,5.205448545343637079e+01,3.676729693397942924e+02
3.099469376646286189e+00,2.156148169259218861e+01,2.546523886487627664e+01,5.297327944253152765e+01,3.667106256904088468e+02
3.199402235250955240e+00,2.112609559636528189e+01,2.496073763228650932e+01,5.391316677134820878e+01,3.656603710791790718e+02
3.299330226402140021e+00,2.069127666052244408e+01,2.443372206971340788e+01,5.487500126976414805e+01,3.645214525471869251e+02
3.399253198486867245e+00,2.025682359247556619e+01,2.388350192963983787e+01,5.585967447788460305e+01,3.632930768001928072e+02
3.499170999937923909e+00,1.982253487953025584e+01,2.330934738231039560e+01,5.686811773815934146e+01,3.619744129749993817e+02
3.599083479235231753e+00,1.938820863060335498e+01,2.271048696694031577e+01,5.790130440245633281e+01,3.605645957822597438e+02
3.698990484907222154e+00,1.895364243213902711e+01,2.208610540766646579e+01,5.896025216019451420e+01,3.590627290818435995e+02
3.798891865532205259e+00,1.851863321972850684e+01,2.143534128649733361e+01,6.004602549377415954e+01,3.574678899534401921e+02
3.898787469739746658e+00,1.808297716720765180e+01,2.075728456514710984e+01,6.115973826764523835e+01,3.557791333324186667e+02
3.998677146212032518e+00,1.764646959530973191e+01,2.005097394727708604e+01,6.230255645741318205e+01,3.539954972892690535e+02
4.098560743685243146e+00,1.720890490228662983e+01,1.931539407232765626e+01,6.347570102538572456e+01,3.521160090400629201e+02
4.198438110950915458e+00,1.677007651928814624e+01,1.854947253181212119e+01,6.468045094889973257e+01,3.501396917856842492e+02
4.298309096857314771e+00,1.632977689370632746e+01,1.775207669866997051e+01,6.591814640762369493e+01,3.480655724889392673e+02
4.398173550310795044e+00,1.588779750415965886e+01,1.692201036005916492e+01,6.719019213578117444e+01,3.458926907113099674e+02
4.498031320277168454e+00,1.544392891130915935e+01,1.605801014381418668e+01,6.849806094487665575e+01,3.436201086451991387e+02
4.597882255783063421e+00,1.499796084927870510e+01,1.515874172873019354e+01,6.984329742199109603e+01,3.412469224929836855e+02
4.697726205917286180e+00,1.454968236308778806e+01,1.422279582887845883e+01,7.122752180803374245e+01,3.387722753614120847e+02
4.797563019832182363e+00,1.409888199822010790e+01,1.324868394233111246e+01,7.265243405944877964e+01,3.361953718587044477e+02
4.897392546744996800e+00,1.364534804923012246e+01,1.223483385501244491e+01,7.411981809575742375e+01,3.335154946025212439e+02
4.997214635939223548e+00,1.318886887515810713e+01,1.117958489092824159e+01,7.563154623391365305e+01,3.307320228696324307e+02
5.097029136765969248e+00,1.272923329047038266e+01,1.008118290079445600e+01,7.718958380873517910e+01,3.278444536429310574e+02
5.196835898645304042e+00,1.226623104128241692e+01,8.937774982136140522e+00,7.879599397658142834e+01,3.248524253383026803e+02
5.296634771067609826e+00,1.179965337775267997e+01,7.747403925309881423e+00,8.045294269693744127e+01,3.217557445230273743e+02
5.396425603594937392e+00,1.188906102088335359e+01,8.342708098690893692e+00,7.976823088042574739e+01,3.240226092718374389e+02
5.496208245862351127e+00,1.216345025807217439e+01,9.543714280777912506e+00,7.829283546114990600e+01,3.281694143080615049e+02
5.595982547579276378e+00,1.242411561620373028e+01,1.070460901434142720e+01,7.687127536945483541e+01,3.322686755484489822e+02
5.695748358530851263e+00,1.267169935763911504e+01,1.182742018658957051e+01,7.550088045577130913e+01,3.363191678642372153e+02
5.795505528579258936e+00,1.290681506726377670e+01,1.291405099626066821e+01,7.417913393647555154e+01,3.403199690689080512e+02
5.895253907665082949e+00,1.313004833533276994e+01,1.396628821008799015e+01,7.290366345457924524e+01,3.442704200334731013e+02
5.994993345808638630e+00,1.334195755195709587e+01,1.498580990635447741e+01,7.167223254168843027e+01,3.481700895336694543e+02
6.094723693111312457e+00,1.354307478329005221e+01,1.597419272433484316e+01,7.048273249237510640e+01,3.520187433005592652e+02
