# Well Angle,Fracture 1,Fracture 2,Fracture 3,Pressure Drop
1.003354252449484146e-01,3.703653728187882876e+01,3.198801477902132717e+01,3.097544793909984762e+01,5.950848035672588594e+02
2.006706966436306028e-01,3.650029280753578576e+01,3.198297925070432512e+01,3.151672794175988557e+01,5.981885469749870481e+02
3.010056603245632179e-01,3.597196217206787594e+01,3.196443766014816390e+01,3.206360016778395305e+01,6.011689296137535621e+02
4.013401625788883820e-01,3.545124427896124075e+01,3.193239996075852716e+01,3.261635576028021433e+01,6.040280525144769399e+02
5.006912612564722309e-01,3.494284275062415901e+01,3.188737256072712256e+01,3.316978468864871843e+01,6.067416513219510534e+02
6.005615116529761099e-01,3.443874139762026942e+01,3.182874760265252334e+01,3.373251099972719658e+01,6.093534658666457062e+02
7.004308497143204582e-01,3.394135168737517461e+01,3.175669137461976632e+01,3.430195693800504841e+01,6.118507808987557155e+02
8.002991237428552784e-01,3.345041466213842796e+01,3.167115470482165307e+01,3.487843063303991897e+01,6.142353026771742179e+02
9.001661820506275946e-01,3.296567961026840266e+01,3.157207375463626065e+01,3.546224663509533315e+01,6.165086567638601309e+02
1.000031872960765789e+00,3.248690362600618897e+01,3.145936997352957576e+01,3.605372640046422816e+01,6.186723920435847504e+02
1.100961253905949455e+00,3.200883532222299266e+01,3.133152722719727734e+01,3.665963745057973000e+01,6.207493331952709923e+02
1.200823736403118236e+00,3.154133533862185246e+01,3.119113474355222237e+01,3.726752991782592517e+01,6.226970591606246899e+02
1.300418102405262344e+00,3.108033197993556485e+01,3.103722336092612011e+01,3.788244465913832926e+01,6.245346317623123014e+02
1.400809364927726230e+00,3.062071977973338477e+01,3.086789549101032648e+01,3.851138472925628520e+01,6.262821501010610064e+02
1.500665914816155189e+00,3.016840432484348966e+01,3.068518568381363210e+01,3.914640999134287824e+01,6.279172474470375391e+02
1.600520185534808570e+00,2.972073016940470325e+01,3.048806334430345188e+01,3.979120648629184842e+01,6.294506391992563294e+02
1.700105757316529465e+00,2.927867500185010030e+01,3.027692660550076909e+01,4.044439839264911996e+01,6.308797553720314681e+02
1.800221283243522041e+00,2.883851674883728933e+01,3.004982051222502903e+01,4.111166273893768164e+01,6.322167315355105757e+02
1.899950655587020032e+00,2.840410347081284570e+01,2.980857072385382267e+01,4.178732580533333874e+01,6.334501410033171851e+02
1.999930083045492024e+00,2.797247086451641351e+01,2.955143044423274645e+01,4.247609869125084714e+01,6.345890396345474755e+02
2.099906465473766470e+00,2.754454548333208308e+01,2.927873742633418530e+01,4.317671709033374583e+01,6.356311337866155782e+02
2.199879650817317511e+00,2.712015120609281738e+01,2.899021847912452898e+01,4.388963031478266430e+01,6.365773517422420582e+02
2.299849487050810826e+00,2.669911592351871121e+01,2.868558166668745457e+01,4.461530240979382000e+01,6.374285951916995145e+02
2.399815822179489189e+00,2.628127136080075132e+01,2.836451572740854132e+01,4.535421291179071090e+01,6.381857436965536863e+02
2.499778504240557808e+00,2.586645291477100272e+01,2.802668944863344080e+01,4.610685763659555647e+01,6.388496593610244645e+02
2.599737381304565442e+00,2.545449950559467922e+01,2.767175099534764371e+01,4.687374949905768062e+01,6.394211917421306453e+02
2.699692301476790846e+00,2.504525344301503154e+01,2.729932719132551711e+01,4.765541936565945491e+01,6.399011830319954015e+02
2.799643112898621666e+00,2.463856030728114632e+01,2.690902275109162645e+01,4.845241694162722013e+01,6.402904735481592979e+02
2.899589663748938673e+00,2.423426884498804768e+01,2.650041946094200540e+01,4.926531169406994337e+01,6.405899075704264760e+02
2.999531802245492429e+00,2.383223088016389468e+01,2.607307530718082589e+01,5.009469381265527943e+01,6.408003395657501642e+02
3.099469376646286189e+00,2.343230124104752932e+01,2.562652354963925205e+01,5.094117520931322929e+01,6.409226408459585400e+02
3.199402235250955240e+00,2.303433770311205819e+01,2.516027173846766374e+01,5.180539055842028517e+01,6.409577067066370546e+02
3.299330226402140021e+00,2.263820094901201330e+01,2.467380067211754735e+01,5.268799837887043935e+01,6.409064640994469073e+02
3.399253198486867245e+00,2.224375454625501902e+01,2.416656329437144635e+01,5.358968215937353108e+01,6.407698798943614520e+02
3.499170999937923909e+00,2.185086494353377873e+01,2.363798352823200943e+01,5.451115152823420118e+01,6.405489697929403974e+02
